KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,909.52,680.68 (-25.2 %),762.78 (-16.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),82.10 (+9.0 %)
Energy bought (kWh),4534.2,4389.1 (-3.2 %),4698.0 (+3.6 %)
Energy sold (kWh),274.7,11.8 (-95.7 %),332.2 (+20.9 %)
