KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,490.13,432.50 (-11.8 %),469.73 (-4.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),37.23 (+7.6 %)
Energy bought (kWh),6218.9,5361.4 (-13.8 %),5964.3 (-4.1 %)
Energy sold (kWh),988.9,37.6 (-96.2 %),653.0 (-34.0 %)
