KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,257.30,231.78 (-9.9 %),252.69 (-1.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),20.91 (+8.1 %)
Energy bought (kWh),3203.1,2853.5 (-10.9 %),3186.6 (-0.5 %)
Energy sold (kWh),493.6,106.0 (-78.5 %),456.6 (-7.5 %)
