KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,238.36,121.32 (-49.1 %),166.50 (-30.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),45.18 (+19.0 %)
Energy bought (kWh),4018.0,2085.5 (-48.1 %),2829.5 (-29.6 %)
Energy sold (kWh),3862.8,1719.2 (-55.5 %),2465.4 (-36.2 %)
