KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,355.41,341.57 (-3.9 %),349.26 (-1.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),7.69 (+2.2 %)
Energy bought (kWh),4365.1,4208.6 (-3.6 %),4332.1 (-0.8 %)
Energy sold (kWh),187.6,11.2 (-94.0 %),134.4 (-28.4 %)
