KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,561.15,240.57 (-57.1 %),335.18 (-40.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),94.61 (+16.9 %)
Energy bought (kWh),4018.0,2048.8 (-49.0 %),2543.2 (-36.7 %)
Energy sold (kWh),3862.8,1670.3 (-56.8 %),2161.8 (-44.0 %)
