KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,283.53,257.34 (-9.2 %),268.33 (-5.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),10.99 (+3.9 %)
Energy bought (kWh),3448.2,3098.7 (-10.1 %),3273.6 (-5.1 %)
Energy sold (kWh),403.7,15.5 (-96.2 %),190.5 (-52.8 %)
