Dataset,Household,Tariff,Capacity_kWh,Controller,Causal,Cost_EUR_Closed,Savings_EUR,No_Battery_EUR,Cost_EUR,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID,Peak_Reset,Agreed_Power
Fluvius,3,Dinamični,5.0,no_battery,True,643.3732306929988,0.0,643.3732306929988,643.3732306929988,0.0,448.10149536960495,5.866202412,2.5,0.0,0.0,0.0,0.0,2863.60899999996,0.0,6.0,0.0,0,0.0,1.832247018814087,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,5.0,self_consumption,True,643.6743880289908,-0.3011573359920021,643.3732306929988,643.2754035777988,0.39898445119201875,448.0036682544051,5.866202412,0.0,0.0,2.3749999999999996,0.0,0.0,2861.2339999999595,0.0,6.0,0.4749999999999999,0,0.0,1.7403662204742432,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,5.0,fixed_schedule,True,619.0779302586136,24.29530043438524,643.3732306929988,618.6789458074215,0.39898445119201875,425.6005583401016,3.672854556,0.0,1785.6529085872066,1613.9267499999855,1785.6529085872066,0.0,3035.3351585872315,0.0,5.244,322.7853499999971,0,2.7755575615628914e-17,1.7306880950927734,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,5.0,delayed_pv_charge,True,643.6743880289908,-0.3011573359920021,643.3732306929988,643.2754035777988,0.39898445119201875,448.0036682544051,5.866202412,0.0,0.0,2.3749999999999996,0.0,0.0,2861.2339999999595,0.0,6.0,0.4749999999999999,0,0.0,1.805588960647583,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,5.0,price_threshold,True,589.3254655840389,54.04776510895999,643.3732306929988,588.9264811328468,0.39898445119201875,394.9810259255018,4.539922295999999,0.0,1188.4503961218534,1074.95148249998,1188.4503961218534,0.0,2977.1079136218705,0.0,6.0,214.99029649999602,0,5.551115123125783e-17,1.70847487449646,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,5.0,price_rank_daily,True,546.1844456780885,97.18878501491031,643.3732306929988,545.7854612268965,0.39898445119201875,352.7070737596006,3.672854556,0.0,1770.3033573406697,1600.0737800000043,1770.3033573406697,0.0,3033.8385773407335,0.0,5.244,320.01475600000083,0,5.551115123125783e-17,1.6855921745300293,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,5.0,peak_shaving,True,636.2822876268239,7.090943066174987,643.3732306929988,636.4368884931994,-0.1546008663754712,447.03135558180446,0.0,3.468714857894717,77.57488101896435,69.09105100461535,77.57488101896435,0.0,2872.0928300143078,0.0,3.796,13.81821020092307,0,5.551115123125783e-17,1.6910560131072998,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,5.0,self_consumption_peak_shaving,True,636.7012428092557,6.6719878837431,643.3732306929988,636.6993628675989,0.0018799416568675061,447.29382995620523,0.0,2.488220457894719,82.48472353350316,74.4536535539866,82.48472353350316,0.0,2871.640069979476,0.0,3.796,14.89073071079732,0,5.551115123125783e-17,1.8449580669403076,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,5.0,price_oracle,False,582.5444661605344,60.82876453246445,643.3732306929988,582.1454817093423,0.39898445119201875,389.06709424200125,3.672854556,0.0,1295.5553102492754,1171.613667499986,1295.5553102492754,0.0,2987.5506427493096,0.0,5.244,234.32273349999718,0,5.551115123125783e-17,1.753326177597046,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,5.0,milp_full_period,False,470.10501030855505,173.2682203844438,643.3732306929988,470.10501030855505,0.0,280.6994773971987,0.0,2.5000000032894727,2082.114106113126,1879.1079725000159,2082.114106113126,0.0,3626.1182711129572,559.5031375000007,4.65957896,375.8215945000032,1,8.302631737677757e-08,65.76938915252686,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,10.0,no_battery,True,643.3732306929988,0.0,643.3732306929988,643.3732306929988,0.0,448.10149536960495,5.866202412,5.0,0.0,0.0,0.0,0.0,2863.60899999996,0.0,6.0,0.0,0,0.0,1.9038817882537842,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,10.0,self_consumption,True,643.9689852419828,-0.5957545489839049,643.3732306929988,643.1710163395987,0.7979689023840375,447.89928101620507,5.866202412,0.0,0.0,4.750000000000003,0.0,0.0,2858.858999999959,0.0,6.0,0.47500000000000026,0,0.0,1.8907809257507324,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,10.0,fixed_schedule,True,590.8559625771984,52.51726811580045,643.3732306929988,590.0579936748144,0.7979689023840375,400.65246076349973,0.0,0.0,2604.68531855955,2355.478499999977,2604.68531855955,0.0,3112.815818559502,0.0,6.0,235.5478499999977,0,0.0,1.8208940029144287,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,10.0,delayed_pv_charge,True,643.9689852419828,-0.5957545489839049,643.3732306929988,643.1710163395987,0.7979689023840375,447.89928101620507,5.866202412,0.0,0.0,4.750000000000003,0.0,0.0,2858.858999999959,0.0,6.0,0.47500000000000026,0,0.0,1.7755939960479736,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,10.0,price_threshold,True,568.8863610950023,74.48686959799659,643.3732306929988,568.0883921926182,0.7979689023840375,375.17698588930057,3.5058733920000003,0.0,1616.8300498614933,1463.9391199999798,1616.8300498614933,0.0,3016.499929861462,0.0,6.0,146.39391199999798,0,0.0,1.8908991813659668,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,10.0,price_rank_daily,True,515.5085304542379,127.86470023876097,643.3732306929988,514.7105615518539,0.7979689023840375,325.3050286406022,0.0,0.0,2460.1758171745128,2225.0586749999693,2460.1758171745128,0.0,3098.7261421744847,0.0,6.0,222.50586749999692,0,2.7755575615628914e-17,1.7410378456115723,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,10.0,peak_shaving,True,636.0631404202157,7.3100902727831,643.3732306929988,635.8187568353992,0.2443835848165488,446.4132239240047,0.0,3.468714857894709,78.0812078887705,71.9230110046153,78.0812078887705,0.0,2869.7671968841128,0.0,3.796,7.19230110046153,0,5.551115123125783e-17,1.7923221588134766,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,10.0,self_consumption_peak_shaving,True,636.8100345226183,6.563196170380593,643.3732306929988,636.5656509378017,0.24438358481654754,447.16011802640526,0.0,3.468714857894717,87.04142698485248,80.00960873882943,87.04142698485248,0.0,2870.6408182459795,0.0,3.796,8.000960873882942,0,5.551115123125783e-17,1.799062728881836,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,10.0,price_oracle,False,555.0746704388397,88.29856025415916,643.3732306929988,554.4937490779041,0.5809213609355792,363.3348288946,1.753387272,1.3600000000000005,1791.692113573404,1620.4601324999912,1791.692113573404,0.0,3034.840981073381,0.0,6.0,162.04601324999913,0,0.0,1.9710848331451416,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,10.0,milp_full_period,False,354.09332966459044,289.2799010284084,643.3732306929988,354.09332966459044,0.0,164.30399570670068,0.3838010461,5.000000005526314,3374.9967374909725,3045.934537499993,3374.9967374909725,0.0,4659.8783074910625,1467.2071075000022,6.231158000000001,304.5934537499993,1,5.567552641139173e-07,91.36970090866089,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,20.0,no_battery,True,643.3732306929988,0.0,643.3732306929988,643.3732306929988,0.0,448.10149536960495,5.866202412,10.0,0.0,0.0,0.0,0.0,2863.60899999996,0.0,6.0,0.0,0,0.0,1.5859439373016357,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,20.0,self_consumption,True,644.3816793399667,-1.0084486469678495,643.3732306929988,642.7857415351987,1.595937804768075,447.514006211805,5.866202412,0.0,0.0,9.499999999999995,0.0,0.0,2854.1089999999554,0.0,6.0,0.47499999999999976,0,0.0,1.5506198406219482,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,20.0,fixed_schedule,True,584.2030187684038,59.17021192459504,643.3732306929988,582.6920831310194,1.51093563738433,393.2865502196993,0.0,0.5326157894736865,2770.9261551246486,2509.7548699999816,2770.9261551246486,0.0,3124.780285124601,0.0,6.0,125.48774349999908,0,0.0,1.567152976989746,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,3,Dinamični,20.0,delayed_pv_charge,True,644.3816793399667,-1.0084486469678495,643.3732306929988,642.7857415351987,1.595937804768075,447.514006211805,5.866202412,0.0,0.0,9.499999999999995,0.0,0.0,2854.1089999999554,0.0,6.0,0.47499999999999976,0,0.0,1.5913219451904297,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
