140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius 1 | Redni 1T | 5 kWh] peak_shaving                      496.78 EUR  (   1.8 s)
  [Fluvius 3 | Aktivni | 5 kWh] peak_shaving                      672.48 EUR  (   1.7 s)
  [Fluvius 1 | Dinamični | 5 kWh] peak_shaving                      532.41 EUR  (   1.9 s)
  [Fluvius 1 | Aktivni | 5 kWh] peak_shaving                      551.28 EUR  (   1.8 s)
  [Fluvius 2 | Redni 2T | 5 kWh] peak_shaving                      581.83 EUR  (   2.0 s)
  [Fluvius 1 | Redni 2T | 5 kWh] peak_shaving                      515.17 EUR  (   1.8 s)
  [Fluvius 2 | Redni 1T | 5 kWh] self_consumption_peak_shaving     563.16 EUR  (   1.8 s)
  [Fluvius 3 | Dinamični | 5 kWh] self_consumption_peak_shaving     636.70 EUR  (   1.8 s)
  [Fluvius 2 | Aktivni | 5 kWh] self_consumption_peak_shaving     591.87 EUR  (   1.9 s)
  [Fluvius 1 | Redni 1T | 5 kWh] self_consumption_peak_shaving     496.80 EUR  (   1.8 s)
  [Fluvius 3 | Aktivni | 5 kWh] self_consumption_peak_shaving     672.57 EUR  (   1.8 s)
  [Fluvius 2 | Dinamični | 5 kWh] self_consumption_peak_shaving     571.13 EUR  (   1.9 s)
  [Fluvius 1 | Dinamični | 5 kWh] self_consumption_peak_shaving     532.59 EUR  (   1.8 s)
  [Fluvius 2 | Redni 2T | 5 kWh] self_consumption_peak_shaving     581.89 EUR  (   1.7 s)
  [Fluvius 1 | Aktivni | 5 kWh] self_consumption_peak_shaving     551.27 EUR  (   1.8 s)
  [Fluvius 1 | Redni 2T | 5 kWh] self_consumption_peak_shaving     515.19 EUR  (   1.8 s)
  [Fluvius 3 | Dinamični | 5 kWh] price_oracle                      582.54 EUR  (   1.8 s)
  [Fluvius 2 | Redni 1T | 5 kWh] price_oracle                      566.73 EUR  (   1.8 s)
  [Fluvius 2 | Dinamični | 5 kWh] price_oracle                      519.29 EUR  (   1.7 s)
  [Fluvius 2 | Aktivni | 5 kWh] price_oracle                      479.35 EUR  (   1.8 s)
  [Fluvius 3 | Aktivni | 5 kWh] price_oracle                      541.66 EUR  (   1.8 s)
  [Fluvius 1 | Redni 1T | 5 kWh] price_oracle                      501.21 EUR  (   1.9 s)
  [Fluvius 1 | Dinamični | 5 kWh] price_oracle                      478.05 EUR  (   2.0 s)
  [Fluvius 2 | Redni 2T | 5 kWh] price_oracle                      569.92 EUR  (   1.7 s)
  [Fluvius 1 | Redni 2T | 5 kWh] price_oracle                      504.60 EUR  (   1.7 s)
