140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius_EV 2 | Dinamični | 30 kWh] no_battery                       1696.84 EUR  (   1.4 s)
  [Fluvius_EV 3 | Aktivni | 30 kWh] milp_full_period                  291.94 EUR  (  32.1 s)
[30/140] Fluvius_EV_user_003_aktivni.csv (40 rows)  (882s elapsed)
  [Fluvius_EV 5 | Redni 1T | 5 kWh] self_consumption_peak_shaving     894.59 EUR  (   1.4 s)
  [Fluvius_EV 2 | Dinamični | 30 kWh] self_consumption                 1698.39 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 5 kWh] milp_full_period                  792.94 EUR  (  43.8 s)
  [Fluvius_EV 5 | Redni 1T | 5 kWh] price_oracle                      901.80 EUR  (   1.4 s)
  [Fluvius_EV 2 | Dinamični | 30 kWh] fixed_schedule                   1574.13 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 10 kWh] no_battery                        990.58 EUR  (   1.4 s)
  [Fluvius_EV 2 | Dinamični | 30 kWh] delayed_pv_charge                1698.39 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 5 kWh] no_battery                        934.80 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 10 kWh] self_consumption                  991.08 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 5 kWh] milp_full_period                  860.13 EUR  (  26.3 s)
  [Fluvius_EV 2 | Dinamični | 30 kWh] price_threshold                  1515.23 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 5 kWh] self_consumption                  934.87 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 10 kWh] fixed_schedule                    900.92 EUR  (   1.4 s)
  [Fluvius_EV 2 | Dinamični | 30 kWh] price_rank_daily                 1436.47 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 10 kWh] no_battery                       1051.73 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 5 kWh] fixed_schedule                    926.40 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 10 kWh] delayed_pv_charge                 991.08 EUR  (   1.4 s)
  [Fluvius_EV 2 | Dinamični | 30 kWh] peak_shaving                     1690.90 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 10 kWh] self_consumption                 1051.80 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 5 kWh] delayed_pv_charge                 934.87 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 10 kWh] price_threshold                   888.11 EUR  (   1.4 s)
  [Fluvius_EV 2 | Dinamični | 30 kWh] self_consumption_peak_shaving    1690.57 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 10 kWh] fixed_schedule                   1101.22 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 5 kWh] price_threshold                   924.60 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 10 kWh] price_rank_daily                  808.62 EUR  (   1.4 s)
  [Fluvius_EV 2 | Dinamični | 30 kWh] price_oracle                     1487.24 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 10 kWh] delayed_pv_charge                1051.80 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 5 kWh] price_rank_daily                  923.38 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 10 kWh] peak_shaving                      976.98 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 10 kWh] price_threshold                   834.42 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 5 kWh] peak_shaving                      924.65 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 10 kWh] self_consumption_peak_shaving     977.17 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 10 kWh] price_rank_daily                  833.60 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 5 kWh] self_consumption_peak_shaving     925.89 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 10 kWh] price_oracle                      873.34 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 10 kWh] peak_shaving                     1041.36 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 5 kWh] price_oracle                      924.37 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 10 kWh] self_consumption_peak_shaving    1041.55 EUR  (   1.5 s)
  [Fluvius_EV 5 | Aktivni | 10 kWh] price_oracle                      834.36 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 10 kWh] milp_full_period                 1297.40 EUR  (  24.8 s)
  [Fluvius_EV 4 | Redni 1T | 5 kWh] milp_full_period                 1296.40 EUR  (  68.1 s)
  [Fluvius_EV 4 | Redni 2T | 20 kWh] no_battery                       1326.17 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 10 kWh] no_battery                       1298.03 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 20 kWh] self_consumption                 1326.44 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 10 kWh] self_consumption                 1298.10 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 20 kWh] fixed_schedule                   1321.01 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 10 kWh] fixed_schedule                   1335.77 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 20 kWh] delayed_pv_charge                1326.44 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 10 kWh] delayed_pv_charge                1298.10 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 20 kWh] price_threshold                  1304.58 EUR  (   1.5 s)
  [Fluvius_EV 4 | Redni 1T | 10 kWh] price_threshold                  1298.10 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 20 kWh] price_rank_daily                 1313.40 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 10 kWh] price_rank_daily                 1298.10 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 20 kWh] peak_shaving                     1325.33 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 10 kWh] peak_shaving                     1298.13 EUR  (   1.4 s)
  [Fluvius_EV 2 | Redni 1T | 20 kWh] milp_full_period                 1731.95 EUR  ( 123.0 s)
  [Fluvius_EV 4 | Redni 2T | 20 kWh] self_consumption_peak_shaving    1325.43 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 10 kWh] self_consumption_peak_shaving    1297.93 EUR  (   1.5 s)
  [Fluvius_EV 4 | Redni 2T | 20 kWh] price_oracle                     1303.33 EUR  (   1.4 s)
  [Fluvius_EV 2 | Redni 1T | 30 kWh] no_battery                       1740.72 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 10 kWh] price_oracle                     1298.10 EUR  (   1.4 s)
  [Fluvius_EV 2 | Redni 1T | 30 kWh] self_consumption                 1740.95 EUR  (   1.4 s)
  [Fluvius_EV 2 | Redni 1T | 30 kWh] fixed_schedule                   1825.73 EUR  (   1.4 s)
  [Fluvius_EV 2 | Redni 1T | 30 kWh] delayed_pv_charge                1740.95 EUR  (   1.4 s)
  [Fluvius_EV 2 | Redni 1T | 30 kWh] price_threshold                  1740.95 EUR  (   1.4 s)
  [Fluvius_EV 2 | Redni 1T | 30 kWh] price_rank_daily                 1740.95 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 5 kWh] milp_full_period                  907.80 EUR  (  26.4 s)
  [Fluvius_EV 2 | Redni 1T | 30 kWh] peak_shaving                     1751.62 EUR  (   1.4 s)
  [Fluvius_EV 3 | Redni 2T | 30 kWh] milp_full_period                  756.49 EUR  (  60.3 s)
[31/140] Fluvius_EV_user_003_redni2t.csv (40 rows)  (925s elapsed)
  [Fluvius_EV 2 | Redni 1T | 30 kWh] self_consumption_peak_shaving    1749.83 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 10 kWh] no_battery                        934.80 EUR  (   1.4 s)
  [Fluvius_EV 2 | Redni 1T | 30 kWh] price_oracle                     1740.95 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 10 kWh] self_consumption                  934.93 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 10 kWh] fixed_schedule                    925.79 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 5 kWh] no_battery                       1819.13 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 10 kWh] delayed_pv_charge                 934.93 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 10 kWh] milp_full_period                  749.63 EUR  (  30.5 s)
  [Fluvius_HP 1 | Dinamični | 5 kWh] self_consumption                 1819.43 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 10 kWh] price_threshold                   917.69 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 5 kWh] fixed_schedule                   1806.52 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 10 kWh] price_rank_daily                  918.65 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 20 kWh] no_battery                       1051.73 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 5 kWh] delayed_pv_charge                1819.43 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 10 kWh] peak_shaving                      925.52 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 20 kWh] self_consumption                 1051.82 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 5 kWh] price_threshold                  1753.36 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 20 kWh] fixed_schedule                   1094.28 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 10 kWh] self_consumption_peak_shaving     925.63 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 5 kWh] price_rank_daily                 1766.48 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 20 kWh] delayed_pv_charge                1051.82 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 10 kWh] price_oracle                      916.98 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 5 kWh] peak_shaving                     1807.37 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 20 kWh] price_threshold                   830.47 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 5 kWh] self_consumption_peak_shaving    1807.74 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 20 kWh] price_rank_daily                  828.87 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 20 kWh] milp_full_period                 1288.96 EUR  (  25.0 s)
  [Fluvius_HP 1 | Dinamični | 5 kWh] price_oracle                     1746.86 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 20 kWh] peak_shaving                     1039.76 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 30 kWh] no_battery                       1326.17 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 20 kWh] self_consumption_peak_shaving    1041.61 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 30 kWh] self_consumption                 1326.58 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 20 kWh] price_oracle                      829.26 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 30 kWh] fixed_schedule                   1322.89 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 30 kWh] delayed_pv_charge                1326.58 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 30 kWh] price_threshold                  1301.93 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 5 kWh] milp_full_period                  892.06 EUR  (  64.7 s)
  [Fluvius_EV 4 | Redni 2T | 30 kWh] price_rank_daily                 1317.38 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 10 kWh] milp_full_period                  655.75 EUR  (  53.4 s)
  [Fluvius_EV 4 | Redni 2T | 30 kWh] peak_shaving                     1325.39 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 10 kWh] no_battery                        901.76 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 20 kWh] no_battery                        990.58 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 10 kWh] self_consumption                  901.84 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 30 kWh] self_consumption_peak_shaving    1325.72 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 20 kWh] self_consumption                  991.39 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 10 kWh] fixed_schedule                    939.46 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 30 kWh] price_oracle                     1300.30 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 20 kWh] fixed_schedule                    879.63 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 10 kWh] delayed_pv_charge                 901.84 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 20 kWh] delayed_pv_charge                 991.39 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 10 kWh] price_threshold                   901.84 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 20 kWh] price_threshold                   848.62 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 10 kWh] price_rank_daily                  901.84 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 20 kWh] price_rank_daily                  792.50 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 10 kWh] peak_shaving                      894.36 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 20 kWh] peak_shaving                      975.53 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 10 kWh] self_consumption_peak_shaving     894.48 EUR  (   1.4 s)
  [Fluvius_EV 5 | Dinamični | 20 kWh] self_consumption_peak_shaving     977.60 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 10 kWh] price_oracle                      901.84 EUR  (   1.4 s)
  [Fluvius_EV 1 | Dinamični | 30 kWh] milp_full_period                   60.74 EUR  (  87.8 s)
[32/140] Fluvius_EV_user_001.csv (40 rows)  (963s elapsed)
  [Fluvius_EV 5 | Dinamični | 20 kWh] price_oracle                      831.93 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 10 kWh] milp_full_period                  896.44 EUR  (  26.4 s)
  [Fluvius_EV 5 | Redni 2T | 20 kWh] no_battery                        934.80 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 20 kWh] self_consumption                  935.06 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 5 kWh] no_battery                       2019.06 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 20 kWh] fixed_schedule                    924.68 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 5 kWh] self_consumption                 2019.07 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 20 kWh] delayed_pv_charge                 935.06 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 5 kWh] fixed_schedule                   2096.83 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 20 kWh] price_threshold                   913.68 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 20 kWh] milp_full_period                  590.82 EUR  (  27.2 s)
  [Fluvius_EV 4 | Redni 1T | 10 kWh] milp_full_period                 1296.40 EUR  (  55.8 s)
  [Fluvius_HP 1 | Aktivni | 5 kWh] delayed_pv_charge                2019.07 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 20 kWh] price_rank_daily                  923.72 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 5 kWh] price_threshold                  1847.51 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 30 kWh] no_battery                       1051.73 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 20 kWh] no_battery                       1298.03 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 20 kWh] peak_shaving                      924.08 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 5 kWh] price_rank_daily                 1901.63 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 30 kWh] self_consumption                 1051.83 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 20 kWh] self_consumption                 1298.17 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 20 kWh] self_consumption_peak_shaving     925.73 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 5 kWh] peak_shaving                     2010.95 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 30 kWh] fixed_schedule                   1088.70 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 20 kWh] fixed_schedule                   1350.85 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 20 kWh] price_oracle                      910.83 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 5 kWh] self_consumption_peak_shaving    2011.00 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 30 kWh] delayed_pv_charge                1051.83 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 20 kWh] delayed_pv_charge                1298.17 EUR  (   1.4 s)
  [Fluvius_EV 2 | Dinamični | 30 kWh] milp_full_period                  989.80 EUR  (  86.3 s)
[33/140] Fluvius_EV_user_002.csv (40 rows)  (979s elapsed)
  [Fluvius_HP 1 | Aktivni | 5 kWh] price_oracle                     1847.41 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 20 kWh] price_threshold                  1298.17 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 30 kWh] price_threshold                   829.50 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 20 kWh] price_rank_daily                 1298.17 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 30 kWh] price_rank_daily                  832.38 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 2T | 30 kWh] milp_full_period                 1284.95 EUR  (  27.0 s)
[34/140] Fluvius_EV_user_004_redni2t.csv (40 rows)  (981s elapsed)
  [Fluvius_EV 4 | Redni 1T | 20 kWh] peak_shaving                     1298.77 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 30 kWh] peak_shaving                     1038.07 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 20 kWh] self_consumption_peak_shaving    1298.62 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 30 kWh] self_consumption_peak_shaving    1041.30 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 5 kWh] no_battery                       1776.27 EUR  (   1.4 s)
  [Fluvius_EV 4 | Redni 1T | 20 kWh] price_oracle                     1298.17 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 30 kWh] price_oracle                      827.97 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 5 kWh] self_consumption                 1776.31 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 5 kWh] no_battery                       1837.25 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 5 kWh] fixed_schedule                   1799.48 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 5 kWh] self_consumption                 1837.32 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 5 kWh] delayed_pv_charge                1776.31 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 5 kWh] fixed_schedule                   1832.44 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 5 kWh] price_threshold                  1776.31 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 5 kWh] delayed_pv_charge                1837.32 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 5 kWh] price_rank_daily                 1776.31 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 5 kWh] price_threshold                  1829.40 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 5 kWh] peak_shaving                     1766.33 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 5 kWh] price_rank_daily                 1844.76 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 5 kWh] self_consumption_peak_shaving    1766.35 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 5 kWh] peak_shaving                     1825.95 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 1T | 5 kWh] price_oracle                     1776.31 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 5 kWh] self_consumption_peak_shaving    1825.98 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 5 kWh] price_oracle                     1829.30 EUR  (   1.5 s)
  [Fluvius_EV 5 | Redni 2T | 20 kWh] milp_full_period                  890.03 EUR  (  27.0 s)
  [Fluvius_EV 5 | Redni 2T | 30 kWh] no_battery                        934.80 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 30 kWh] self_consumption                  935.19 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 30 kWh] fixed_schedule                    919.89 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 30 kWh] delayed_pv_charge                 935.19 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 5 kWh] milp_full_period                 1777.28 EUR  (  31.7 s)
  [Fluvius_EV 5 | Redni 2T | 30 kWh] price_threshold                   907.38 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 10 kWh] no_battery                       2019.06 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 30 kWh] price_rank_daily                  926.48 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 10 kWh] self_consumption                 2019.11 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 30 kWh] peak_shaving                      922.54 EUR  (   1.4 s)
  [Fluvius_EV 5 | Aktivni | 30 kWh] milp_full_period                  437.97 EUR  (  29.5 s)
[35/140] Fluvius_EV_user_005_aktivni.csv (40 rows)  (1015s elapsed)
  [Fluvius_HP 1 | Aktivni | 10 kWh] fixed_schedule                   2235.57 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 30 kWh] self_consumption_peak_shaving     925.85 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 5 kWh] milp_full_period                 1569.79 EUR  (  74.9 s)
  [Fluvius_HP 1 | Aktivni | 10 kWh] delayed_pv_charge                2019.11 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 2T | 30 kWh] price_oracle                      904.76 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 10 kWh] no_battery                       1819.13 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 10 kWh] price_threshold                  1669.44 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 10 kWh] self_consumption                 1819.73 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 5 kWh] no_battery                       1812.51 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 10 kWh] price_rank_daily                 1864.10 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 10 kWh] fixed_schedule                   1826.55 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 5 kWh] self_consumption                 1812.82 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 10 kWh] peak_shaving                     2008.37 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 10 kWh] delayed_pv_charge                1819.73 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 5 kWh] fixed_schedule                   1793.53 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 10 kWh] milp_full_period                  889.90 EUR  (  60.2 s)
  [Fluvius_HP 1 | Aktivni | 10 kWh] self_consumption_peak_shaving    2008.51 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 10 kWh] price_threshold                  1678.85 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 5 kWh] delayed_pv_charge                1812.82 EUR  (   1.4 s)
  [Fluvius_HP 1 | Aktivni | 10 kWh] price_oracle                     1668.60 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 20 kWh] no_battery                        901.76 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 10 kWh] price_rank_daily                 1730.12 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 5 kWh] milp_full_period                 1806.47 EUR  (  27.9 s)
  [Fluvius_HP 2 | Dinamični | 5 kWh] price_threshold                  1756.67 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 20 kWh] self_consumption                  901.91 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 10 kWh] peak_shaving                     1804.70 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 5 kWh] price_rank_daily                 1726.60 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 10 kWh] no_battery                       1837.25 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 20 kWh] fixed_schedule                    946.15 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 10 kWh] self_consumption_peak_shaving    1804.92 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 5 kWh] peak_shaving                     1800.47 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 10 kWh] self_consumption                 1837.38 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 20 kWh] delayed_pv_charge                 901.91 EUR  (   1.4 s)
  [Fluvius_HP 1 | Dinamični | 10 kWh] price_oracle                     1668.48 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 5 kWh] self_consumption_peak_shaving    1801.87 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 10 kWh] fixed_schedule                   1822.95 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 20 kWh] price_threshold                   901.91 EUR  (   1.4 s)
  [Fluvius_HP 2 | Dinamični | 5 kWh] price_oracle                     1746.34 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 10 kWh] delayed_pv_charge                1837.38 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 20 kWh] price_rank_daily                  901.91 EUR  (   1.4 s)
  [Fluvius_EV 2 | Redni 1T | 30 kWh] milp_full_period                 1731.95 EUR  ( 104.9 s)
[36/140] Fluvius_EV_user_002_redni1t.csv (40 rows)  (1032s elapsed)
  [Fluvius_HP 1 | Redni 2T | 10 kWh] price_threshold                  1817.13 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 20 kWh] peak_shaving                      892.87 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 10 kWh] price_rank_daily                 1837.93 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 20 kWh] self_consumption_peak_shaving     894.57 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 10 kWh] peak_shaving                     1823.24 EUR  (   1.4 s)
  [Fluvius_EV 5 | Redni 1T | 20 kWh] price_oracle                      901.91 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 10 kWh] self_consumption_peak_shaving    1823.38 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 5 kWh] no_battery                       1927.65 EUR  (   1.4 s)
  [Fluvius_HP 1 | Redni 2T | 10 kWh] price_oracle                     1816.16 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 5 kWh] self_consumption                 1927.67 EUR  (   1.4 s)
  [Fluvius_HP 2 | Aktivni | 5 kWh] fixed_schedule                   1989.29 EUR  (   1.4 s)
