Dataset,Household,Tariff,Capacity_kWh,Controller,Causal,Cost_EUR_Closed,Savings_EUR,No_Battery_EUR,Cost_EUR,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID,Peak_Reset,Agreed_Power
Fluvius,5,Dinamični,5.0,no_battery,True,211.97012588479728,0.0,211.97012588479728,211.97012588479728,0.0,118.94179587819998,17.470711356000002,2.5,0.0,0.0,0.0,0.0,734.0019999999062,0.0,3.796,0.0,0,0.0,1.5450968742370603,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,5.0,self_consumption,True,212.21053056358932,-0.2404046787920322,211.97012588479728,211.8115461123973,0.3989844511920187,118.78321610579988,17.470711356000002,0.0,0.0,2.3750000000000018,0.0,0.0,731.6269999999029,0.0,3.796,0.4750000000000003,0,0.0,1.5589048862457275,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,5.0,fixed_schedule,True,186.3359920810063,25.634133803790977,211.97012588479728,185.96086270015925,0.3751293808470646,105.25493582199974,5.148308227699999,0.1494736842105245,637.8668891966755,577.9078674999013,637.8668891966755,0.0,793.9610216966682,0.0,2.779578947368421,115.58157349998024,0,1.734723475976807e-18,1.5470869541168213,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,5.0,delayed_pv_charge,True,212.21053056358932,-0.2404046787920322,211.97012588479728,211.8115461123973,0.3989844511920187,118.78321610579988,17.470711356000002,0.0,0.0,2.3750000000000018,0.0,0.0,731.6269999999029,0.0,3.796,0.4750000000000003,0,0.0,1.5211141109466553,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,5.0,price_threshold,True,184.3662950388749,27.603830845922374,211.97012588479728,183.9673105876829,0.3989844511920187,95.58864232510004,12.821049612,0.0,487.5009889196706,442.344642499936,487.5009889196706,0.0,779.1583464196527,0.0,3.796,88.46892849998719,0,0.0,1.5318210124969482,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,5.0,price_rank_daily,True,176.040879711293,35.92924617350428,211.97012588479728,175.641895260101,0.3989844511920187,92.79770622740008,7.286570382,0.0,561.9350415512499,509.52137499990386,561.9350415512499,0.0,786.4156665512485,0.0,2.8955789473684206,101.90427499998076,0,5.551115123125783e-17,1.520491123199463,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,5.0,peak_shaving,True,198.3359886488299,13.634137235967389,211.97012588479728,198.42134276249791,-0.0853541136680283,118.19468063839972,4.6690434734999995,3.034821052631385,34.90352576177154,30.99235199999894,34.90352576177154,0.0,737.91317376168,0.0,2.508,6.198470399999788,0,0.0,1.5379750728607178,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,5.0,self_consumption_peak_shaving,True,212.20468614358933,-0.2345602587920439,211.97012588479728,211.80570169239732,0.3989844511920187,118.7773716857999,17.470711356000002,0.0,0.0,2.3750000000000018,0.0,0.0,731.6269999999029,0.0,3.796,0.4750000000000003,0,0.0,1.5076298713684082,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,5.0,price_oracle,False,175.76319280453976,36.20693308025753,211.97012588479728,175.8537412757787,-0.0905484712389464,91.58801293519984,8.70810969,3.06736842105263,547.1554764542952,493.2688174999243,547.1554764542952,0.0,787.8886589542849,0.0,2.779578947368421,98.65376349998488,0,1.734723475976807e-18,1.4984979629516602,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,5.0,milp_full_period,False,75.85813089460187,136.1119949901954,211.97012588479728,75.85813089460187,0.0,-5.457799134500023,5.7583113779,2.500000019026317,1398.6020840727083,1262.238377500042,1398.6020840727083,0.0,1724.393324072733,854.0276175000034,2.87957896,252.4476755000084,1,7.726316120226785e-08,578.7469408512115,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,10.0,no_battery,True,211.97012588479728,0.0,211.97012588479728,211.97012588479728,0.0,118.94179587819998,17.470711356000002,5.0,0.0,0.0,0.0,0.0,734.0019999999062,0.0,3.796,0.0,0,0.0,1.3789141178131104,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,10.0,self_consumption,True,212.35733299938116,-0.3872071145838731,211.97012588479728,211.55936409699711,0.7979689023840375,118.5310340903999,17.470711356000002,0.0,0.0,4.750000000000002,0.0,0.0,729.251999999899,0.0,3.796,0.4750000000000002,0,0.0,1.3815438747406006,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,10.0,fixed_schedule,True,184.4221213691124,27.54800451568491,211.97012588479728,184.44597643945733,-0.023855070344955,104.3700604948998,4.518297294,5.14947368421053,659.5580858725758,595.1091724999011,659.5580858725758,0.0,798.4509133725697,0.0,3.796,59.51091724999011,0,0.0,1.4095940589904783,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius,5,Dinamični,10.0,delayed_pv_charge,True,212.35733299938116,-0.3872071145838731,211.97012588479728,211.55936409699711,0.7979689023840375,118.5310340903999,17.470711356000002,0.0,0.0,4.750000000000002,0.0,0.0,729.251999999899,0.0,3.796,0.4750000000000002,0,0.0,1.386754035949707,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
