obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
01.03.2024–11.03.2024,Električna energija – blok 5,4.738,kWh,0.069188,0.32781,energija
01.03.2024–11.03.2024,Skupaj električna energija,,,,5.44471,skupaj
01.03.2024–11.03.2024,Dogovorjena moč za časovni blok 2,3.5,kW,1.092314,3.8231,omreznina
01.03.2024–11.03.2024,Dogovorjena moč za časovni blok 3,3.5,kW,0.289029,1.0116,omreznina
01.03.2024–11.03.2024,Dogovorjena moč za časovni blok 4,3.5,kW,0.024371,0.0853,omreznina
01.03.2024–11.03.2024,Dogovorjena moč za časovni blok 5,3.5,kW,0.002457,0.0086,omreznina
01.03.2024–11.03.2024,Prevzeta EE za časovni blok 2,25.235,kWh,0.01998,0.5042,omreznina
01.03.2024–11.03.2024,Prevzeta EE za časovni blok 3,22.295,kWh,0.01717,0.38281,omreznina
01.03.2024–11.03.2024,Prevzeta EE za časovni blok 4,13.707,kWh,0.01805,0.24741,omreznina
01.03.2024–11.03.2024,Prevzeta EE za časovni blok 5,4.738,kWh,0.01299,0.06155,omreznina
01.03.2024–11.03.2024,Skupaj omrežnina za elektroenergetski sistem,,,,6.12456,skupaj
01.03.2024–11.03.2024,Prispevek za delovanje operaterja trga,65.975,kWh,0.00013,0.00858,prispevki
01.03.2024–11.03.2024,Prispevek za energetsko učinkovitost,65.975,kWh,0.0008,0.05278,prispevki
01.03.2024–11.03.2024,Prispevek za SPTE in OVE,3.5,kW,0.38781,1.35733,prispevki
01.03.2024–11.03.2024,Skupaj prispevki in ostale dajatve,,,,1.41869,skupaj
01.03.2024–11.03.2024,Trošarina,65.975,kWh,0.00153,0.10094,trosarina
01.03.2024–11.03.2024,Skupaj trošarina,,,,0.10094,skupaj
01.03.2024–11.03.2024,100% Jedrska energija,1.0,kos,0.0,0.0,poslovanje
01.03.2024–11.03.2024,Pavšalni strošek poslovanja,1.0,kos,2.97,2.97,poslovanje
01.03.2024–11.03.2024,E-popust,1.0,kos,-1.0,-1.0,poslovanje
01.03.2024–11.03.2024,Obračun storitev pogodbenega računa,,,,1.97,skupaj
01.03.2024–11.03.2024,Skupaj brez DDV,,,,15.05876,skupaj
01.03.2024–11.03.2024,DDV 22%,,,,3.31293,ddv
01.03.2024–11.03.2024,Skupaj z DDV,,,,18.37168,skupaj
01.03.2024–11.03.2024,ZA PLAČILO,,,,18.37168,za_placilo
01.03.2024–11.03.2024,"Paket 'GEN-I Dinamični – Samooskrba za gospodinjske odjemalce' velja šele od 2024-10-02, obračunavaš pa 2024-03-01 — cene so ekstrapolirane nazaj.",,,,,opozorilo
