KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,355.41,341.57 (-3.9 %),351.44 (-1.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),9.88 (+2.8 %)
Energy bought (kWh),4365.1,4208.6 (-3.6 %),4362.8 (-0.1 %)
Energy sold (kWh),187.6,11.2 (-94.0 %),171.5 (-8.6 %)
