KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,977.35,950.68 (-2.7 %),965.79 (-1.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),15.11 (+1.5 %)
Energy bought (kWh),12190.6,11858.9 (-2.7 %),12106.3 (-0.7 %)
Energy sold (kWh),382.5,13.3 (-96.5 %),267.8 (-30.0 %)
