KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,610.41,367.76 (-39.8 %),481.00 (-21.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),113.24 (+18.6 %)
Energy bought (kWh),3270.6,2607.0 (-20.3 %),3440.4 (+5.2 %)
Energy sold (kWh),1022.8,143.8 (-85.9 %),974.3 (-4.7 %)
