KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,294.63,238.09 (-19.2 %),268.05 (-9.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),29.96 (+10.2 %)
Energy bought (kWh),3680.3,2827.8 (-23.2 %),3305.1 (-10.2 %)
Energy sold (kWh),1039.9,93.7 (-91.0 %),557.5 (-46.4 %)
