KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,311.68,203.31 (-34.8 %),250.71 (-19.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),47.40 (+15.2 %)
Energy bought (kWh),4470.2,2753.4 (-38.4 %),3515.8 (-21.4 %)
Energy sold (kWh),2399.5,494.7 (-79.4 %),1230.4 (-48.7 %)
