KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,284.05,255.42 (-10.1 %),268.96 (-5.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),13.54 (+4.8 %)
Energy bought (kWh),3466.3,3088.3 (-10.9 %),3300.1 (-4.8 %)
Energy sold (kWh),467.3,46.9 (-90.0 %),259.5 (-44.5 %)
