KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,294.63,238.09 (-19.2 %),277.02 (-6.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),38.93 (+13.2 %)
Energy bought (kWh),3680.3,2827.8 (-23.2 %),3465.7 (-5.8 %)
Energy sold (kWh),1039.9,93.7 (-91.0 %),733.5 (-29.5 %)
