KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,909.52,680.68 (-25.2 %),770.63 (-15.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),89.96 (+9.9 %)
Energy bought (kWh),4534.2,4389.1 (-3.2 %),4697.6 (+3.6 %)
Energy sold (kWh),274.7,11.8 (-95.7 %),336.7 (+22.6 %)
