KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,158.16,96.81 (-38.8 %),114.47 (-27.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),17.66 (+11.2 %)
Energy bought (kWh),2471.0,1437.9 (-41.8 %),1719.9 (-30.4 %)
Energy sold (kWh),1453.2,306.4 (-78.9 %),587.7 (-59.6 %)
