KPI,Sans batterie,Connaissance parfaite,Prévisions (Prophet)
Coût total (USD),4.71,1.85,1.95
Économies vs sans batterie (USD),0.0,2.86,2.75
Regret vs connaissance parfaite (USD),—,0.0,0.11
Énergie achetée (kWh),39.1,28.7,30.7
Énergie vendue (kWh),15.0,0.0,0.0
