KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,238.36,151.78 (-36.3 %),210.94 (-11.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),59.16 (+24.8 %)
Energy bought (kWh),4018.0,2502.7 (-37.7 %),3488.8 (-13.2 %)
Energy sold (kWh),3862.8,2179.2 (-43.6 %),3170.3 (-17.9 %)
