KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1636.31,1343.94 (-17.9 %),1413.31 (-13.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),69.37 (+4.2 %)
Energy bought (kWh),8193.7,8030.3 (-2.0 %),8351.6 (+1.9 %)
Energy sold (kWh),321.3,9.8 (-97.0 %),328.8 (+2.3 %)
