KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,257.30,231.78 (-9.9 %),247.01 (-4.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),15.23 (+5.9 %)
Energy bought (kWh),3203.1,2853.5 (-10.9 %),3096.5 (-3.3 %)
Energy sold (kWh),493.6,106.0 (-78.5 %),349.6 (-29.2 %)
