KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1066.29,751.00 (-29.6 %),830.35 (-22.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),79.34 (+7.4 %)
Energy bought (kWh),5156.5,4713.7 (-8.6 %),5360.9 (+4.0 %)
Energy sold (kWh),603.5,8.6 (-98.6 %),650.3 (+7.7 %)
