KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1018.26,773.32 (-24.1 %),901.32 (-11.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),128.00 (+12.6 %)
Energy bought (kWh),5965.7,5415.6 (-9.2 %),5876.9 (-1.5 %)
Energy sold (kWh),2546.2,1857.0 (-27.1 %),2282.7 (-10.3 %)
