KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,926.29,642.58 (-30.6 %),741.68 (-19.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),99.10 (+10.7 %)
Energy bought (kWh),4569.7,3968.3 (-13.2 %),4478.9 (-2.0 %)
Energy sold (kWh),768.3,26.2 (-96.6 %),537.1 (-30.1 %)
