KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,284.05,255.42 (-10.1 %),276.50 (-2.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),21.08 (+7.4 %)
Energy bought (kWh),3466.3,3088.3 (-10.9 %),3418.9 (-1.4 %)
Energy sold (kWh),467.3,46.9 (-90.0 %),383.4 (-18.0 %)
