KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,363.73,317.77 (-12.6 %),335.36 (-7.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),17.59 (+4.8 %)
Energy bought (kWh),4569.7,3910.9 (-14.4 %),4198.3 (-8.1 %)
Energy sold (kWh),768.3,36.2 (-95.3 %),328.3 (-57.3 %)
