KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,687.94,425.31 (-38.2 %),511.80 (-25.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),86.49 (+12.6 %)
Energy bought (kWh),3410.8,2651.8 (-22.3 %),3084.2 (-9.6 %)
Energy sold (kWh),906.3,18.2 (-98.0 %),458.8 (-49.4 %)
