KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,801.96,423.32 (-47.2 %),561.67 (-30.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),138.35 (+17.3 %)
Energy bought (kWh),4470.2,2740.1 (-38.7 %),3684.2 (-17.6 %)
Energy sold (kWh),2399.5,463.9 (-80.7 %),1405.4 (-41.4 %)
