KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,206.23,174.77 (-15.3 %),197.78 (-4.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),23.00 (+11.2 %)
Energy bought (kWh),2636.2,2182.7 (-17.2 %),2559.0 (-2.9 %)
Energy sold (kWh),530.0,25.6 (-95.2 %),418.2 (-21.1 %)
