KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,496.72,349.92 (-29.6 %),402.55 (-19.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),52.63 (+10.6 %)
Energy bought (kWh),2636.2,2206.6 (-16.3 %),2368.8 (-10.1 %)
Energy sold (kWh),530.0,19.7 (-96.3 %),190.0 (-64.2 %)
