Household,Strategy,Horizon,Execution,Cost_EUR,Savings_EUR,No_Battery_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s
15,day_block,day,block,-254.64317526358312,572.057383252082,317.41420798849884,-412.2187004886016,0.6503854362,15.000000001402668,7057.931695573219,6369.7833542123835,5527.21658444979,50.064440446000006,5996.32846769778,5486.495685890599,12.1069472,212.32611180707946,366,5.438947352914836e-07,22.713128089904785
15,day_receding,day,receding,-323.6350198440922,641.049227832591,317.41420798849884,-481.5897501433033,1.0295905106,15.00000000000211,6690.4584552866,6038.138755762736,5118.480768059543,34.93025559999999,5639.857876425318,5180.987921301084,11.7989472,201.27129185875785,35135,3.000000248221113e-08,2022.4061210155487
15,week_block,week,block,-337.65586972639477,655.0700777148936,317.41420798849884,-495.8350024242027,1.253992909,15.00000000473953,7014.874997663379,6330.924703741177,5486.205997665963,51.29444044600001,5976.313207784962,5469.448473416595,11.7389472,211.03082345803924,53,9.748447240554015e-07,19.402639150619507
15,week_receding,week,receding,-343.51281502259417,660.9270230110931,317.41420798849884,-502.44782548620276,2.0098706752999997,14.999999999998433,6790.969653800151,6128.85011230634,5264.222140171888,50.17163399100001,5757.371734978065,5273.460559493036,11.7989472,204.29500374354467,35135,3.657894964703701e-08,11232.959969997406
15,month_block,month,block,-364.13539025539563,681.5495982438945,317.41420798849884,-523.5395520434051,2.479021999,14.99999989673687,7251.0633850530085,6544.084730820186,5773.813274716565,65.83469251999999,6237.7311897185955,5693.297842965598,11.762947200000001,218.13615769400622,12,8.979210394180481e-07,27.714754819869995
15,full_period,period,block,-379.64854791749616,697.062755905995,317.41420798849884,-546.5143955144013,9.940707808099997,14.999999033736874,7634.65300862463,6890.274409110215,6197.303869206241,67.46159834,6631.70665420825,6048.246456353591,11.830947200000002,229.67581363700717,1,9.667630433835006e-07,95.9006552696228
