KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,926.29,642.58 (-30.6 %),738.10 (-20.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),95.52 (+10.3 %)
Energy bought (kWh),4569.7,3968.3 (-13.2 %),4506.6 (-1.4 %)
Energy sold (kWh),768.3,26.2 (-96.6 %),572.1 (-25.5 %)
