KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,258.13,207.81 (-19.5 %),236.51 (-8.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),28.70 (+11.1 %)
Energy bought (kWh),3270.6,2497.4 (-23.6 %),2962.2 (-9.4 %)
Energy sold (kWh),1022.8,164.9 (-83.9 %),618.1 (-39.6 %)
