KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1172.85,843.13 (-28.1 %),902.72 (-23.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),59.59 (+5.1 %)
Energy bought (kWh),5669.5,5251.3 (-7.4 %),5583.7 (-1.5 %)
Energy sold (kWh),591.3,13.9 (-97.7 %),347.5 (-41.2 %)
