user_id,cluster_id,no_battery_cost,milp_cost,basic_dqn_cost,basic_dqn_reward,basic_dqn_improvement_pct,basic_milp_improvement_pct,basic_dqn_gap_vs_milp_pct,basic_dqn_fraction_theoretical_pct,extended_dqn_cost,extended_dqn_reward,extended_dqn_improvement_pct,extended_dqn_gap_vs_milp_pct,extended_dqn_fraction_theoretical_pct
138,0,1505.524604850612,1054.548207188979,1328.0247193699388,-559.3496601628742,11.789902663084396,29.954767674247464,25.93304984225836,39.359018875717545,1336.934833314848,-397.9184813784377,11.198074810108634,26.77797223501081,37.38328045767411
138,0,1505.524604850612,1054.548207188979,1407.7351476030074,-1094.1686778085625,6.495374232512652,29.954767674247464,33.49177761683265,21.683941278225355,1335.2124668219253,-393.8420023203751,11.312477888435845,26.61464480425126,37.7651998889023
127,1,1195.0393813865135,923.9415586725248,1188.7592409065123,-301.80873612318624,0.5255174497023494,22.685262673055544,28.661735122561748,2.3165588041726024,1053.7440934291533,-217.9242689498126,11.823483824727683,14.0487819319571,52.1196690341657
127,1,1195.0393813865135,923.9415586725248,1163.981399679223,-287.32258535612385,2.598908637743496,22.685262673055544,25.97998095805712,11.456374454197322,1011.6816978721723,-191.1352717266872,15.343233567885031,9.496286683511492,67.63524755703612
65,2,1367.0340510255007,986.1581627366321,1294.7917679799205,-368.0790655440623,5.284600115950782,27.86147777395515,31.29656244864582,18.967407826769385,1140.334155588465,-271.5430577993757,16.583339329914537,15.634002605016995,59.52067390128389
65,2,1367.0340510255007,986.1581627366321,1315.3637109558085,-468.4365299039995,3.779740528842784,27.86147777395515,33.382631778417434,13.566188267214157,1094.1931007377693,-242.70489851768843,19.95860674304753,10.955132967853304,71.63513330116606
148,3,1614.6562401328224,1057.8153746549074,1530.3565468765432,-635.3070523545013,5.220906541032204,34.486651191594135,44.67142221068527,15.138920018725276,1261.184118467909,-544.074284599065,21.89147837658848,19.225353373158043,63.47812159252032
148,3,1614.6562401328224,1057.8153746549074,1553.994586722732,-1139.0808272583758,3.7569392111041733,34.486651191594135,46.90603142629629,10.893893959816833,1340.3876060407706,-427.5764643321265,16.986193548509764,26.712811909927776,49.25440122945316
223,4,1324.4841433230222,874.7628400435544,1286.0530559663334,-362.61737053562695,2.9015890866211733,33.95444977930456,47.01733968286774,8.545534106665777,993.7506298362774,-179.92835420425016,24.970741639606306,13.60229131209993,73.54188273380925
223,4,1324.4841433230222,874.7628400435544,1263.95731718544,-348.807533797564,4.569841507179195,33.95444977930456,44.4914277705838,13.458741157291676,1018.4315836409652,-204.35395033218722,23.107302660052706,16.423736471276886,68.05382743718246
