dataset,cost_no_battery,cost_oracle,cost_prophet,buy_no_battery,buy_oracle,buy_prophet,sell_no_battery,sell_oracle,sell_prophet,gross_oracle,energy_oracle,power_oracle,fixed_oracle,termadj_oracle,peakkw_oracle,efc_oracle,gross_prophet,energy_prophet,power_prophet,fixed_prophet,termadj_prophet,peakkw_prophet,efc_prophet,efc_no_battery,cost_self_consumption,efc_self_consumption,cost_fixed_schedule,efc_fixed_schedule,cost_delayed_pv_charge,efc_delayed_pv_charge,cost_price_threshold,efc_price_threshold,cost_price_rank_daily,efc_price_rank_daily,cost_tariff_arbitrage,efc_tariff_arbitrage,cost_price_oracle,efc_price_oracle,gen_mae,gen_rmse,gen_nmae,gen_skill_vs_naive,gen_mae_first_month,gen_mae_last_month,con_mae,con_rmse,con_nmae,con_skill_vs_naive,con_mae_first_month,con_mae_last_month,regret_prophet,gain_oracle_vs_no_battery_pct,gain_prophet_vs_no_battery_pct,baseline_positive
Ausgrid 138,957.5252205267349,729.8727776191478,871.8837145811807,5965.689,5485.456759021239,6610.827247823704,2546.1800000000003,1862.6381592640248,2955.9518781403335,730.0025600183808,730.0025600183808,0.0,705.3016666664521,-0.1297823992330657,7.078,196.61979262814924,871.8080040947772,871.8080040947772,0.0,705.3016666664521,0.07571048640348246,6.598842100000001,230.19281317664013,0.0,895.0909839345418,63.37994450000033,776.7625933710295,167.22777674999878,898.758808297988,60.29639404779025,882.7346398953935,112.02647724999986,844.4172785926042,140.97930199999976,853.6162887431667,145.2563979800157,884.7843599866063,105.32243324999975,0.3091188114532364,0.6583262555200786,0.6682530037124103,-0.7374169915892939,0.045243143648824986,0.28690811715127174,0.6677767500371513,1.074294846642185,0.7829187099789828,-0.08329070898800417,0.4660022505979051,0.22903741335546995,142.01093696203293,23.77508581782895,8.94404701929864,True
Ausgrid 127,680.027782673157,525.3574599072623,614.0142553110579,3740.375,3605.8794368168697,4119.794450124384,285.355,13.122435261800023,555.4565686832873,525.1821593957117,525.1821593957117,0.0,705.3016666664521,0.17530051155062842,4.912000000000001,136.19995605848175,613.6712809536145,613.6712809536145,0.0,705.3016666664521,0.342974357443403,4.912000000000001,110.41742330026018,0.0,652.0840931809458,26.133288749999974,514.7930485857789,215.4235250000002,652.0840931809458,26.133288749999974,598.5248635521385,137.4298327500001,575.1766270315575,173.6851579999996,580.7423844990755,181.74006546560233,599.160316760869,134.27125149999986,0.08011630436425975,0.13956218826057734,0.45214196427859604,-0.12692196416188062,0.06948271599393181,0.07316220427530282,0.27335405617507574,0.438463167437699,0.4782248888743982,0.21225066186006358,0.29041897808373307,0.2863500571027951,88.65679540379563,22.74470642330127,9.707475053828398,True
Ausgrid 65,894.4032142270498,657.4615443588096,796.9171729976897,4949.204,4414.2201605374685,5323.153274434237,790.739,68.20800421731056,1006.6523695891697,657.201064359758,657.201064359758,0.0,705.3016666664521,0.2604799990516384,8.11,185.70214973378972,796.574198640573,796.574198640573,0.0,705.3016666664521,0.3429743571167882,8.11,157.88626658006007,0.0,818.0879173597826,71.74419474999988,676.9445795475505,230.3074157499994,818.1665081040311,71.69521807801831,776.7173692458164,152.50098900000035,735.2531118606842,194.44456775000018,767.3757838228121,187.4311252138409,780.0602881119843,149.64948650000002,0.1297428446431426,0.22055872000417762,0.5028016005253556,-0.18247832463783653,0.11175110980990763,0.12145179081688519,0.41237207755474187,0.6431886652119221,0.5627728701205439,-0.06341346936635195,0.7606151664215816,0.751653052404559,139.45562863888006,26.491594182497096,10.899562935225845,True
Ausgrid 148,1174.5987436492196,826.5066253103606,1005.4811230161755,6218.915000000001,5581.266613219439,6759.981072153392,988.8919999999999,94.45171576248003,1280.047243058697,826.3012351161913,826.3012351161913,0.0,705.3016666664521,0.2053901941693407,6.572,252.54454052125266,1005.1885230172672,1005.1885230172672,0.0,705.3016666664521,0.29259999890826216,6.572,246.83223454530017,0.0,1081.298866701781,89.24803975000019,900.311503239261,261.51012050000134,1081.3171031538423,89.23087962976828,1035.2155435636703,165.3900115000004,971.8423329147819,213.69811275000075,1016.5255757014398,193.03517908020055,1038.1684620022543,160.5448217500002,0.10735366838576405,0.18855601448116235,0.4735230183737351,-0.09960845042771305,0.09163121463110563,0.09596112387118252,0.5834251503352126,0.8273526816045437,0.7082574698229278,-0.22670981883950425,0.9235194043558526,0.6801778422935707,178.97449770581488,29.634981326253886,14.397905799527155,True
Ausgrid 223,720.8107669077259,475.29198635339833,604.3152377993788,3304.7740000000003,2856.632348451287,4107.138238142268,723.391,92.15355649298003,1292.5318671332557,475.02638565640115,475.02638565640115,0.0,705.3016666664521,0.26560069699719113,6.06,181.42318921053547,604.0226378004705,604.0226378004705,0.0,705.3016666664521,0.29259999890826216,6.06,230.5726597220333,0.0,642.0878698904459,64.5855217499998,504.27466184483706,188.7443387500004,642.4551547589599,64.39202813806244,574.1800733922113,138.51172100000014,522.6586342854218,177.48946650000053,559.2650474480074,166.74066759751142,576.2730464774477,138.2832812500002,0.07069416439173425,0.12764946163528051,0.4731553630042602,-0.15502137419071782,0.04840654372816343,0.053614894192559284,0.3736769904459165,0.5939819898857646,0.8414471787050918,-0.12263534026752221,0.6712649005796805,0.45653922873188213,129.02325144598046,34.06147519238672,16.161735431354927,True
Ausgrid 179,641.111577935217,472.79791066741865,577.54406236207,3448.159,3211.702245508134,3964.323930229636,403.714,28.08263624833503,785.2468364648878,472.6599086170933,472.6599086170933,0.0,705.3016666664521,0.13800205032532498,4.938,137.17629815201173,577.2010880050143,577.2010880050143,0.0,705.3016666664521,0.3429743570556534,4.65,135.08255323169124,0.0,602.427784520557,36.81518850000009,479.5473259221534,193.8469302499993,602.427784520557,36.81518850000009,544.5457601876928,136.31925625000065,518.2271601877065,168.5133117499998,533.1075190003379,157.45283095871068,547.2121594406267,131.7664265000004,0.07701941530567923,0.1350218296218559,0.5099555629039475,-0.15712995663957474,0.05989088789680996,0.06724718798644701,0.3310780834877045,0.5037280548121171,0.6640540273210723,-0.10205794336517804,0.6740484434036963,0.5963645115305581,104.74615169465136,26.253412519841614,9.915203181616912,True
Ausgrid 261,455.43189589267354,311.900573560174,426.1603525574533,2636.215,2280.5989827159347,2753.1002583721865,530.0060000000001,55.416055085550425,568.2686066137366,311.56254435072697,311.56254435072697,0.0,705.3016666664521,0.33802920944701537,6.1,119.7696094703826,425.8173782007921,425.8173782007921,0.0,705.3016666664521,0.3429743566611421,5.56350812,80.50925074910694,0.0,406.3727777868762,48.21304150000012,329.0854564113341,161.05565549999935,406.3727777868762,48.21304150000012,378.56876413664264,114.92030124999943,356.7642792498298,146.86150124999944,383.0965073011756,112.33891249648192,381.0519832452223,108.45399874999941,0.07965116578547544,0.13773743497360957,0.48566837451712214,-0.1471923966215538,0.06336926478620668,0.06710468750915732,0.27801331236800964,0.45368861958550516,0.6874064824558584,-0.1525149442144722,0.4219985224478972,0.3692415154211128,114.25977899727928,31.515430435799768,6.427205384428839,True
Ausgrid 142,433.22839584264597,218.57708819197651,356.5589560537541,3082.336,1750.4147783359872,2742.802649109412,2034.358,513.2649904436205,1511.3643335199847,218.2341138345331,218.2341138345331,0.0,705.3016666664521,0.342974357443403,4.948,188.22379341390342,356.21598169631073,356.21598169631073,0.0,705.3016666664521,0.342974357443403,4.948,182.6587692750489,0.0,274.58366377680767,151.8776704999996,283.50043929572513,205.23158649999942,277.7741578267593,149.53485093006762,321.0435686806756,158.4357079999995,285.73230877680265,212.60606999999885,330.9160082132517,165.82917928469627,316.0718430189369,159.48445049999933,0.16814287176519743,0.29154964752668583,0.48518568575211535,-0.11710467344832742,0.14566657774725808,0.15638416475470018,0.29258683783447537,0.4516744282580489,0.627618451161031,0.0953477695079753,0.5283015098668837,0.4354441032837458,137.9818678617776,49.54691560168035,17.697233266477564,True
Ausgrid 128,811.1937886428742,608.3692426155047,721.2254888556309,4365.071,4358.8557026390645,4901.056910170577,187.64,13.681590418000026,581.4776333409621,608.0961267190736,608.0961267190736,0.0,705.3016666664521,0.27311589643113204,5.233999998869025,166.5496802607417,720.9682400978754,720.9682400978754,0.0,705.3016666664521,0.25724875775549744,4.48799999306445,141.43057734015215,0.0,792.8292675007064,17.31451,622.9563032472136,212.49935750000003,792.8292675007064,17.31451,714.0712420840038,138.76732174999998,683.5378920291196,169.70461549999985,691.439276549149,180.76887697742703,714.5209727119006,135.61354099999946,0.09944699978778887,0.17322371620179366,0.4931853616033135,-0.17411969316750864,0.07537545753835197,0.09130312683102475,0.32499874038370086,0.4459085310423622,0.4789832805689037,-0.6060021761843786,0.2753409123518385,0.3566206669924406,112.85624624012621,25.003217340543817,11.09085166169234,True
Ausgrid 168,404.92578829078434,237.37358882897968,350.23103700943,2330.559,1752.7979067705432,2421.3591289362785,782.124,68.44992321540504,764.911409888838,237.03061447153627,237.03061447153627,0.0,705.3016666664521,0.342974357443403,4.45,136.33059947985566,349.8880626530983,349.8880626530983,0.0,705.3016666664521,0.34297435633171564,3.92292826,109.1457264974616,0.0,328.58513356672347,70.96669100000008,254.2351872899346,179.41068500000117,328.58513356672347,70.96669100000008,308.24170179912477,129.71367575,273.79756119412093,167.88308775000021,313.7717954347638,136.56076496471806,304.24630884421475,128.16308799999996,0.08835353244571194,0.1513592234270246,0.4716070361871303,-0.14239633510764738,0.07261436401388238,0.08001945775989916,0.2223173481234736,0.3250753146293306,0.610581373665971,-0.0786043493989328,0.29143885497497785,0.25678031166199217,112.85744818045032,41.378495592748585,13.507351930393003,True
