KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,258.13,207.81 (-19.5 %),248.08 (-3.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),40.27 (+15.6 %)
Energy bought (kWh),3270.6,2497.4 (-23.6 %),3175.1 (-2.9 %)
Energy sold (kWh),1022.8,164.9 (-83.9 %),890.9 (-12.9 %)
