KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,687.94,425.31 (-38.2 %),509.75 (-25.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),84.44 (+12.3 %)
Energy bought (kWh),3410.8,2651.8 (-22.3 %),3081.0 (-9.7 %)
Energy sold (kWh),906.3,18.2 (-98.0 %),448.8 (-50.5 %)
