KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,304.47,284.13 (-6.7 %),300.25 (-1.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),16.12 (+5.3 %)
Energy bought (kWh),3740.4,3494.0 (-6.6 %),3742.0 (+0.0 %)
Energy sold (kWh),285.4,12.3 (-95.7 %),278.9 (-2.3 %)
