KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,561.15,240.57 (-57.1 %),365.77 (-34.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),125.20 (+22.3 %)
Energy bought (kWh),4018.0,2048.8 (-49.0 %),2900.0 (-27.8 %)
Energy sold (kWh),3862.8,1670.3 (-56.8 %),2527.6 (-34.6 %)
