KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1095.97,746.21 (-31.9 %),836.49 (-23.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),90.28 (+8.2 %)
Energy bought (kWh),6029.8,4712.5 (-21.8 %),5023.4 (-16.7 %)
Energy sold (kWh),2108.6,601.1 (-71.5 %),925.8 (-56.1 %)
