KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,426.56,388.40 (-8.9 %),414.27 (-2.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),25.87 (+6.1 %)
Energy bought (kWh),5156.5,4625.0 (-10.3 %),5040.1 (-2.3 %)
Energy sold (kWh),603.5,12.9 (-97.9 %),438.6 (-27.3 %)
