KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,363.60,202.55 (-44.3 %),297.50 (-18.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),94.95 (+26.1 %)
Energy bought (kWh),2471.0,1392.0 (-43.7 %),2126.2 (-14.0 %)
Energy sold (kWh),1453.2,252.2 (-82.6 %),986.9 (-32.1 %)
