KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1018.26,773.32 (-24.1 %),873.18 (-14.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),99.86 (+9.8 %)
Energy bought (kWh),5965.7,5415.6 (-9.2 %),6056.2 (+1.5 %)
Energy sold (kWh),2546.2,1857.0 (-27.1 %),2462.7 (-3.3 %)
