KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,562.65,256.21 (-54.5 %),372.06 (-33.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),115.85 (+20.6 %)
Energy bought (kWh),3082.3,1607.0 (-47.9 %),2322.8 (-24.6 %)
Energy sold (kWh),2034.4,382.1 (-81.2 %),1078.3 (-47.0 %)
