KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1066.29,751.00 (-29.6 %),832.08 (-22.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),81.08 (+7.6 %)
Energy bought (kWh),5156.5,4713.7 (-8.6 %),5150.9 (-0.1 %)
Energy sold (kWh),603.5,8.6 (-98.6 %),445.3 (-26.2 %)
