KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,466.98,425.28 (-8.9 %),460.18 (-1.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),34.90 (+7.5 %)
Energy bought (kWh),5853.9,5252.2 (-10.3 %),5832.3 (-0.4 %)
Energy sold (kWh),712.2,45.4 (-93.6 %),670.7 (-5.8 %)
