KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,926.29,642.58 (-30.6 %),731.15 (-21.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),88.57 (+9.6 %)
Energy bought (kWh),4569.7,3968.3 (-13.2 %),4391.9 (-3.9 %)
Energy sold (kWh),768.3,26.2 (-96.6 %),449.0 (-41.6 %)
