KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,355.41,341.57 (-3.9 %),346.72 (-2.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),5.16 (+1.5 %)
Energy bought (kWh),4365.1,4208.6 (-3.6 %),4288.7 (-1.8 %)
Energy sold (kWh),187.6,11.2 (-94.0 %),89.8 (-52.1 %)
