KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,284.05,255.42 (-10.1 %),273.77 (-3.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),18.35 (+6.5 %)
Energy bought (kWh),3466.3,3088.3 (-10.9 %),3374.1 (-2.7 %)
Energy sold (kWh),467.3,46.9 (-90.0 %),339.2 (-27.4 %)
