KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,926.29,642.58 (-30.6 %),711.15 (-23.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),68.57 (+7.4 %)
Energy bought (kWh),4569.7,3968.3 (-13.2 %),4303.2 (-5.8 %)
Energy sold (kWh),768.3,26.2 (-96.6 %),361.6 (-52.9 %)
