KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,562.65,256.21 (-54.5 %),349.67 (-37.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),93.46 (+16.6 %)
Energy bought (kWh),3082.3,1607.0 (-47.9 %),2123.1 (-31.1 %)
Energy sold (kWh),2034.4,382.1 (-81.2 %),899.6 (-55.8 %)
