KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,158.60,109.43 (-31.0 %),134.16 (-15.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),24.73 (+15.6 %)
Energy bought (kWh),2171.0,1420.7 (-34.6 %),1817.5 (-16.3 %)
Energy sold (kWh),1009.2,178.8 (-82.3 %),573.9 (-43.1 %)
