KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,245.44,217.45 (-11.4 %),239.49 (-2.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),22.04 (+9.0 %)
Energy bought (kWh),3099.7,2714.0 (-12.4 %),3066.1 (-1.1 %)
Energy sold (kWh),455.3,26.0 (-94.3 %),377.2 (-17.2 %)
