KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,816.77,625.89 (-23.4 %),692.61 (-15.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),66.72 (+8.2 %)
Energy bought (kWh),4365.1,4292.6 (-1.7 %),4784.9 (+9.6 %)
Energy sold (kWh),187.6,13.9 (-92.6 %),488.1 (+160.1 %)
