hh,day,act_con,act_gen,persistence__con_mae,persistence__con_bias,persistence__gen_mae,persistence__gen_bias,median14__con_mae,median14__con_bias,median14__gen_mae,median14__gen_bias,hbd__con_mae,hbd__con_bias,hbd__gen_mae,hbd__gen_bias,hbd_median14__con_mae,hbd_median14__con_bias,hbd_median14__gen_mae,hbd_median14__gen_bias,prophet__con_mae,prophet__con_bias,prophet__gen_mae,prophet__gen_bias,cost_nb,cost_fc,cost_pk,arm,n_sim,n_train,steps_per_day,start_ts,kinds,money,absence_rel,absence_min_days,absence_window
Ausgrid 138,2012-06-30,16.637999999999998,0.0,0.22212765957446812,-0.0010212765957446604,0.0,0.0,0.43882978723404253,0.43882978723404253,0.0,0.0,0.1332491522361528,0.04883142992206689,0.08033852347725429,0.08033852347725429,0.33365704473893903,0.33329960410997417,0.0,0.0,0.40032434474656003,0.40032434474656003,0.11749364284111773,0.11749364284111774,2.2442914845999997,1.413994760891117,1.413994760891117,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-01,104.39,0.0,1.8968333333333334,-1.8205833333333334,0.0,0.0,1.8227291666666667,-1.4464791666666665,0.0,0.0,1.8169996978061633,-1.8024228428867743,0.07880310945643071,0.07880310945643071,1.8213697394508876,-1.544248062360391,0.0,0.0,1.8001841185877954,-1.4109771455068643,0.11027772599253481,0.11027772599253481,18.0096046370108,8.955230881427212,9.004802318505398,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-02,49.15,0.0,1.9314166666666666,1.1508333333333334,0.0,0.0,0.3940416666666666,-0.303,0.0,0.0,0.6279014831587632,0.0005133905408858108,0.07854131972943032,0.07854131972943032,0.5532719034644873,0.11382106176759843,0.0,0.0,0.4392188827616755,-0.3715167913641766,0.10531059187791858,0.10531059187791858,12.380587636604549,3.367695001884937,3.072912476711137,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-03,55.334,0.0,0.6985000000000001,-0.12883333333333336,0.0,0.0,0.6501458333333333,-0.4677291666666667,0.0,0.0,0.7177808535691922,-0.5015832864901426,0.07859874886757456,0.07859874886757456,0.6861188016363483,-0.36915807947625506,0.0,0.0,0.6730230784055419,-0.5292395316250741,0.10017789398034338,0.10017789398034338,13.52652702657025,5.848401095900736,5.3075741848729505,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-04,42.482,0.0,0.6383333333333333,0.26775,0.0,0.0,0.44039583333333326,-0.22485416666666666,0.0,0.0,0.3667520757847645,-0.27763034818418,0.07982356193643492,0.07982356193643492,0.44763935693119494,-0.0989347335872809,0.0,0.0,0.43050082566313713,-0.3629221024659996,0.09491500413532337,0.09491500413532337,10.203408547143349,4.179816215966823,3.628401508127246,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-05,52.05,0.0,0.5733333333333333,-0.19933333333333333,0.0,0.0,0.7044166666666666,-0.46225,0.0,0.0,0.6293690211328055,-0.4773965127741713,0.07763588173530754,0.07763588173530754,0.6856897843037388,-0.357669011738949,0.0,0.0,0.6831067756979999,-0.5565411716708991,0.08955799310306585,0.08955799310306585,14.228218656555201,5.845091661136599,5.605663888580512,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-06,32.412,0.0,0.670125,0.40912499999999996,0.0,0.0,0.19014583333333332,-0.06647916666666666,0.0,0.0,0.21654802488031022,-0.057143805929488756,0.08068334327052461,0.08068334327052461,0.18048248532176295,0.055413874181226036,0.0,0.0,0.2067864827396825,-0.17943200264823933,0.08414243894208433,0.08414243894208434,7.716520616277,2.8301711341167204,2.6109920498217836,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-07,31.854,0.0,0.2680416666666667,0.011625000000000003,0.0,0.0,0.26908333333333334,-0.06245833333333334,0.0,0.0,0.2674103982214589,-0.16958952111770456,0.07912237580935673,0.07912237580935673,0.2672113739873148,-0.0481729702502419,0.0,0.0,0.22715907184311013,-0.08962575277485342,0.07870231355720776,0.07870231355720776,5.5932975289592495,2.535754305176024,2.458461095711045,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-08,56.0,0.0,0.7297916666666667,-0.5030416666666667,0.0,0.0,0.69075,-0.6023333333333333,0.0,0.0,0.7637601334921511,-0.6974344121731008,0.07928310033078549,0.07928310033078549,0.6758800009116639,-0.5845349690145566,0.0,0.0,0.7382050545477051,-0.570103688047087,0.07326897866610227,0.07326897866610227,9.481166628845449,5.20131037204683,5.150798264402,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-09,43.394,0.0,0.6697083333333333,0.262625,0.0,0.0,0.4097083333333334,-0.3289166666666667,0.0,0.0,0.3854928824779739,-0.2537883811863156,0.07901451085762902,0.07901451085762902,0.3734772308649237,-0.18028944215153644,0.0,0.0,0.4265494183299902,-0.4086108197990337,0.06787031819482144,0.06787031819482144,12.9923891315658,4.976414781252796,4.061000716998787,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-10,31.27,0.0,0.45133333333333336,0.2525833333333333,0.0,0.0,0.33014583333333336,-0.04510416666666667,0.0,0.0,0.23753031617973996,-0.09057019675087996,0.07909509006674273,0.07909509006674273,0.32036437197839324,0.025042953790075026,0.0,0.0,0.277134364468503,-0.17281963814443535,0.06253002910554849,0.06253002910554849,9.0232058814227,3.240143288938942,3.001607842205977,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-11,13.778,0.0,0.4566666666666667,0.36441666666666667,0.0,0.0,0.3903958333333333,0.33568749999999997,0.0,0.0,0.2696884260788263,0.1491274488192074,0.08037819013628537,0.08037819013628537,0.40017323744539285,0.3454734710930351,0.0,0.0,0.2079978776883844,0.10385538719704036,0.05728057253391231,0.057280572533912305,2.67630842975485,1.3664246642229179,1.1124578383622041,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-12,22.744,0.0,0.25737499999999996,-0.18679166666666666,0.0,0.0,0.2227083333333333,0.1505,0.0,0.0,0.2369716054468843,-0.14941218418134178,0.07812841226010964,0.07812841226010965,0.19490684529095845,0.062374874482236886,0.0,0.0,0.23681528230876228,-0.06222220945173942,0.05212479288338321,0.052124792883383224,4.9220027611458,1.8830627334122367,1.775145448440977,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-13,45.372,0.0,0.4828333333333334,-0.47141666666666665,0.0,0.0,0.39706250000000004,-0.3124375,0.0,0.0,0.5842777874577587,-0.5706473649535103,0.08134104241858618,0.08134104241858617,0.40935262925239463,-0.35796763534366277,0.0,0.0,0.5721327245316121,-0.5496464884216308,0.047071393460845934,0.047071393460845934,10.825008667926198,4.6162186142697035,3.9855467894517997,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-14,52.312,0.0,0.5715,-0.1445833333333333,0.0,0.0,0.49414583333333334,-0.41181249999999997,0.0,0.0,0.5391230615178201,-0.46748769739090457,0.07974425475772239,0.07974425475772239,0.47297485326904615,-0.3223131303225268,0.0,0.0,0.6061739190822316,-0.5993415044163409,0.04212200519733985,0.04212200519733985,8.313755525645899,4.085269079691464,4.046886400536002,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-15,32.346,0.0,0.49770833333333336,0.4159583333333334,0.0,0.0,0.3002708333333333,0.04014583333333334,0.0,0.0,0.32025737313279906,-0.03550811828176411,0.07985950003441777,0.07985950003441777,0.3354820628705813,0.14993438062078396,0.0,0.0,0.32935995938783175,-0.1437256122884958,0.03726696827552784,0.03726696827552784,5.160709275035599,2.9443934347992755,2.975482642905285,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-16,18.676,0.0,0.43170833333333336,0.28479166666666667,0.0,0.0,0.3856875,0.2980625,0.0,0.0,0.267706034473133,0.07984024010345415,0.07960515546918075,0.07960515546918076,0.3794141512648818,0.29696939318303783,0.0,0.0,0.2632698927388169,0.05710632917177588,0.03250060581876831,0.032500605818768305,3.735876600137,1.382071485635907,0.9560006216703313,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-17,11.82,0.0,0.24433333333333332,0.14283333333333334,0.0,0.0,0.41472916666666676,0.41472916666666665,0.0,0.0,0.1340694452907446,0.11421601183714479,0.07974567952393873,0.07974567952393873,0.3347208403959349,0.33333239213578064,0.0,0.0,0.21669615123988875,0.20010036864150446,0.02781345270524081,0.02781345270524081,2.41294720115295,0.9559835443032455,0.9007184965234978,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-18,30.428,0.0,0.38891666666666663,-0.38766666666666666,0.0,0.0,0.21783333333333332,-0.017750000000000005,0.0,0.0,0.33932531107133307,-0.33932531107133307,0.08102111009040348,0.08102111009040348,0.2222505743698684,-0.10471062331071222,0.0,0.0,0.27666707468731583,-0.2588569829860767,0.02319285699134546,0.02319285699134546,6.73082954305025,2.65805479491837,2.3640415892263493,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-19,38.636,0.0,0.35333333333333333,-0.171,0.0,0.0,0.24764583333333334,-0.20843750000000003,0.0,0.0,0.4020785801350955,-0.36903781943870917,0.07869850731901133,0.07869850731901133,0.25040840141083825,-0.2045078016388657,0.0,0.0,0.4009275174647165,-0.39345525635010614,0.018623672839875094,0.018623672839875097,8.944165342464,3.4592692614252183,2.668667584059117,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 138,2012-07-20,40.274,0.0,0.24579166666666666,-0.03412499999999999,0.0,0.0,0.2836666666666667,-0.23258333333333334,0.0,0.0,0.363735065154152,-0.34881442943047863,0.08206021087336925,0.08206021087336925,0.2586182957034963,-0.1922962935228073,0.0,0.0,0.4399625749934444,-0.4288994228449587,0.014089017912717145,0.014089017912717145,8.74045292377125,3.30504053883356,3.0099927993507256,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
