arm,dataset,cost_no_battery,cost_oracle,cost_prophet,buy_no_battery,buy_oracle,buy_prophet,sell_no_battery,sell_oracle,sell_prophet,gross_oracle,energy_oracle,power_oracle,fixed_oracle,termadj_oracle,peakkw_oracle,efc_oracle,gross_prophet,energy_prophet,power_prophet,fixed_prophet,termadj_prophet,peakkw_prophet,efc_prophet,cost_milp_full,gross_milp_full,energy_milp_full,power_milp_full,fixed_milp_full,termadj_milp_full,peakkw_milp_full,efc_milp_full,efc_no_battery,fixed_no_battery,cost_self_consumption,efc_self_consumption,fixed_self_consumption,cost_fixed_schedule,efc_fixed_schedule,fixed_fixed_schedule,cost_delayed_pv_charge,efc_delayed_pv_charge,fixed_delayed_pv_charge,cost_price_threshold,efc_price_threshold,fixed_price_threshold,cost_price_rank_daily,efc_price_rank_daily,fixed_price_rank_daily,cost_tariff_arbitrage,efc_tariff_arbitrage,fixed_tariff_arbitrage,cost_price_oracle,efc_price_oracle,fixed_price_oracle,total_delayed_pv_charge,total_fixed_schedule,total_milp_full,total_no_battery,total_oracle,total_price_oracle,total_price_rank_daily,total_price_threshold,total_prophet,total_self_consumption,total_tariff_arbitrage,full_period_bound_is_exact,gen_mae,gen_rmse,gen_nmae,gen_skill_vs_naive,gen_mae_first_month,gen_mae_last_month,con_mae,con_rmse,con_nmae,con_skill_vs_naive,con_mae_first_month,con_mae_last_month,run_status,cost_peak_shaving,efc_peak_shaving,fixed_peak_shaving,cost_self_consumption_peak_shaving,efc_self_consumption_peak_shaving,fixed_self_consumption_peak_shaving,total_peak_shaving,total_self_consumption_peak_shaving
AU_H24_pvnaive,Ausgrid 1,561.1516884645584,241.37255958746465,410.23344311984783,4017.9990000000003,2048.769719785319,3245.086611176078,3862.8379999999997,1670.3082035734074,2868.430060561981,240.57103690933815,240.57103690933815,0.0,705.3016666664521,0.801522678126496,4.952,221.47742605263156,409.43192044172133,409.43192044172133,0.0,705.3016666664521,0.801522678126496,4.867752577351583,219.7187416239918,241.01709740698234,241.61823941557722,241.61823941557722,0.0,705.3016666664521,-0.601142008594872,4.952,220.7023194736842,0.0,705.3016666664521,277.04276377973434,200.65038574999986,705.3016666664521,390.8398571756141,77.4884999999999,705.3016666664521,290.02282978525056,190.1223361742029,705.3016666664521,258.8428735802742,238.51257550000005,705.3016666664521,256.29309769355746,239.82498275000006,705.3016666664521,413.0786120321565,169.93293387078106,705.3016666664521,256.59813997498793,238.5494375000002,705.3016666664521,369.24046985783514,423.12673217561405,332.9763971876841,561.1516884645584,333.6548204427278,355.99373893332137,356.22017383939084,358.22311337194094,501.78291879651107,360.64709117556765,483.88400114498194,True,0.26013561643835614,0.5886205594554939,0.4449404741565894,0.0,0.15888055555555555,0.16864027777777776,0.4411655081941924,0.5977996759183118,0.7323889303504804,-0.1022459428209237,0.7002926082811354,0.5142092047243848,cached,,,,,,,,
AU_H24_pvnaive,Ausgrid 104,2374.0614155183684,2058.6052898712087,2158.408412033624,12190.554,11971.836568227147,12616.674039062253,382.53499999999997,6.856578947368443,627.7355310381542,2057.8037671930824,2057.8037671930824,0.0,705.3016666664521,0.801522678126496,12.198,156.83891263157892,2157.6068893554975,2157.6068893554975,0.0,705.3016666664521,0.801522678126496,12.198,180.18311038245378,2057.4407298280626,2058.0418718366573,2058.0418718366573,0.0,705.3016666664521,-0.601142008594872,12.198,156.89116921052633,0.0,705.3016666664521,2284.4928299292633,34.90378374999993,705.3016666664521,2065.4005818492983,181.73668999999992,705.3016666664521,2284.4928299292633,34.90378374999993,705.3016666664521,2040.2394114142774,241.02293099999983,705.3016666664521,2036.8383576551253,243.52136074999984,705.3016666664521,2085.3458498974414,261.35865407106155,705.3016666664521,2040.608344631247,238.58956724999976,705.3016666664521,2299.03607315843,2141.1242026826317,2122.8120503324485,2374.0614155183684,2123.9548368010333,2140.020664318747,2138.3055913009584,2140.6656326642774,2233.484708026313,2299.03607315843,2194.245289093717,True,0.0906587899543379,0.2028092626877862,0.38416413917872366,0.0,0.07855277777777776,0.07845694444444444,1.2231796807515634,1.8089353565694213,0.7722400595319993,-0.327015952271718,0.9467490767036093,0.7840368972809517,cached,,,,,,,,
AU_H24_pvnaive,Ausgrid 113,926.2892819864417,643.3838274364279,740.0092561404531,4569.722,3968.2728423130193,4506.948238956133,768.287,26.18040250000002,563.6065291430839,642.5823047583013,642.5823047583013,0.0,705.3016666664521,0.801522678126496,4.53,140.95340289473683,739.2077334623266,739.2077334623266,0.0,705.3016666664521,0.801522678126496,4.53,142.1706403306623,643.6510822471614,644.2522242557562,644.2522242557562,0.0,705.3016666664521,-0.601142008594872,4.53,137.0477905263158,0.0,705.3016666664521,781.9695498234653,69.38438150000005,705.3016666664521,674.6300532051115,136.60740174999984,705.3016666664521,781.990339264094,69.36596428543727,705.3016666664521,629.2510297944914,234.0007427500002,705.3016666664521,626.7882036234598,236.84130900000036,705.3016666664521,696.2153474401974,228.3057170614813,705.3016666664521,629.8286597836986,231.79487350000028,705.3016666664521,810.8928243830262,731.5498039342781,700.754328299793,926.2892819864417,702.1144119759015,726.4098570753654,725.47208237346,726.7513392736581,799.2470229448957,810.8797087817986,791.342729549148,True,0.09658116438356165,0.22277371394662068,0.4147300691567272,0.0,0.10434583333333335,0.09544027777777778,0.31167273781893506,0.44933695159103254,0.46739393894105047,0.07052046595837458,0.37560888170978995,0.3888861479156169,cached,,,,,,,,
AU_H24_pvnaive,Ausgrid 127,791.6653515731557,547.1876347272798,627.0168111658495,3740.375,3585.618489099723,4096.701985190829,285.355,9.59426500000002,510.51585783589826,546.3861120491533,546.3861120491533,0.0,705.3016666664521,0.801522678126496,5.4700000000000015,121.80411578947368,626.215288487723,626.215288487723,0.0,705.3016666664521,0.801522678126496,5.470000000000001,131.7054574227534,546.1510752888939,546.7522172974888,546.7522172974888,0.0,705.3016666664521,-0.601142008594872,5.469999999999999,120.958005,0.0,705.3016666664521,741.3693648111266,26.133288749999974,705.3016666664521,550.0049086061778,140.28338724999983,705.3016666664521,741.3693648111266,26.133288749999974,705.3016666664521,517.6527594600716,232.8108227500003,705.3016666664521,513.7842882908308,235.80950875000045,705.3016666664521,582.3014371245891,202.7520993528812,705.3016666664521,517.2276478128388,230.9297440000004,705.3016666664521,752.2582351236266,608.4563199603443,596.5502440388939,791.6653515731557,597.9393496395605,613.4483744795056,612.0382502699977,614.6572689392384,681.8940850919968,752.2582351236266,666.781478521623,True,0.07109303652968038,0.1568701561496353,0.40121852147487874,0.0,0.06355972222222223,0.06722916666666667,0.27335405617507574,0.438463167437699,0.4782248888743982,0.21225066186006358,0.29041897808373307,0.28635005710279515,cached,,,,,,,,
AU_H24_pvnaive,Ausgrid 128,816.7668594428737,626.6920342228551,693.4111264701475,4365.071,4292.643720041551,4784.903567465704,187.64,13.907000000000014,488.0576976611321,625.8905115447286,625.8905115447286,0.0,705.3016666664521,0.801522678126496,5.234,102.61070157894737,692.609603792021,692.609603792021,0.0,705.3016666664521,0.801522678126496,5.234,120.2555141685582,625.9262808686778,626.5274228772727,626.5274228772727,0.0,705.3016666664521,-0.601142008594872,5.288,101.11774105263159,0.0,705.3016666664521,792.1352127818886,17.31451,705.3016666664521,635.3771383409562,105.30253199999974,705.3016666664521,792.1352127818886,17.31451,705.3016666664521,590.5166627848397,237.48764249999894,705.3016666664521,587.1412235156843,239.78454924999892,705.3016666664521,653.1145267836488,186.19554029895644,705.3016666664521,589.869243125355,234.91729324999886,705.3016666664521,799.3495919485553,679.2531933409562,668.058672973941,816.7668594428737,669.4464932140831,687.7514486461878,687.0514523698505,689.4698471598392,743.5175907070467,799.3495919485553,730.6960019082139,True,0.084699200913242,0.19400600717997835,0.42004692066173527,0.0,0.06436805555555555,0.0627375,0.32499874038370086,0.4459085310423622,0.4789832805689037,-0.6060021761843786,0.2753409123518385,0.3566206669924405,cached,,,,,,,,
AU_H24_pvnaive,Ausgrid 137,1066.2853092328644,751.8063205743975,830.8504880232326,5156.477,4713.667997243767,5330.621015791307,603.538,8.600105263157914,614.2149404451276,751.004797896271,751.004797896271,0.0,705.3016666664521,0.801522678126496,6.271999999999999,152.1307152631579,830.0489653451061,830.0489653451061,0.0,705.3016666664521,0.801522678126496,6.271999999999999,163.17817597832942,751.8638630756134,752.4650050842082,752.4650050842082,0.0,705.3016666664521,-0.601142008594872,6.271999999999999,149.39554736842106,0.0,705.3016666664521,967.7207396350461,54.69844450000013,705.3016666664521,775.4728302624233,160.8102147500003,705.3016666664521,967.7210346695731,54.697927159300455,705.3016666664521,738.2341542343925,238.77969275000024,705.3016666664521,730.3374936654594,241.46010100000026,705.3016666664521,795.1859250777486,230.63621448400835,705.3016666664521,737.4210304608963,237.1912377500002,705.3016666664521,990.511837652615,842.4770864082567,814.1120078124555,1066.2853092328644,815.1941186007133,836.2507128567297,830.9458690821261,837.7256928802259,898.8413946808699,990.5117581767129,891.2843477794188,True,0.12221027397260273,0.27785833255102593,0.40088432844623534,0.0,0.07316388888888889,0.08018611111111111,0.4061999424514299,0.5750053746385867,0.4926062230564005,-0.001933155079515636,0.5925842314575029,0.4597734738258214,cached,,,,,,,,
AU_H24_pvnaive,Ausgrid 138,1018.2596998267276,773.6607048645388,880.7939728534424,5965.689,5415.574994819945,6080.690150893742,2546.1800000000003,1856.9733355124654,2491.459927048657,773.3201858645001,773.3201858645001,0.0,705.3016666664521,0.34051900003877106,7.554,137.18414671052628,880.4627116157895,880.4627116157895,0.0,705.3016666664521,0.3312612376528081,7.554,166.98228796981817,771.9254564986388,772.5265985072336,772.5265985072336,0.0,705.3016666664521,-0.601142008594872,7.554,138.29971184210527,0.0,705.3016666664521,923.5271233376359,63.37994450000033,705.3016666664521,817.7574960376048,110.08063374999915,705.3016666664521,928.1554955575534,60.29639404779025,705.3016666664521,778.2951052543509,169.32143100000096,705.3016666664521,772.7669007282137,172.4341582500009,705.3016666664521,825.6566256900225,169.6876749083459,705.3016666664521,780.3797892446033,168.9338092500008,705.3016666664521,953.278993077466,863.6244267667712,829.5503364328493,1018.2596998267276,830.8207659939249,850.7688764321036,844.6144666657141,848.8457015043513,950.3699261741999,949.9354335459693,896.3598235684999,True,0.17791860730593606,0.4630930799363466,0.38462442058951496,0.0,0.0,0.16955694444444444,0.6677767500371513,1.0742948466421849,0.7829187099789828,-0.08329070898800417,0.4660022505979051,0.22903741335546995,cached,,,,,,,,
AU_H24_pvnaive,Ausgrid 142,562.6454473426467,257.0153470531379,381.9495277839236,3082.336,1607.023264259003,2613.6613339439746,2034.358,382.1333204639889,1391.215114063051,256.21382437501137,256.21382437501137,0.0,705.3016666664521,0.801522678126496,4.948,176.2783042105263,381.1480051057971,381.1480051057971,0.0,705.3016666664521,0.801522678126496,4.948,173.89723988397645,255.99166615661704,256.5928081652119,256.5928081652119,0.0,705.3016666664521,-0.601142008594872,4.948,175.56302421052632,0.0,705.3016666664521,301.8342439244919,151.8776704999996,705.3016666664521,338.651701012535,105.46643749999987,705.3016666664521,304.99194933522455,149.5351125507343,705.3016666664521,267.97433067267787,215.7768089999999,705.3016666664521,263.95433775833106,217.79610249999982,705.3016666664521,372.8496685937326,186.97795737325225,705.3016666664521,264.9850766914316,215.97158799999983,705.3016666664521,367.29824623136386,382.5960499708683,329.14292624433637,562.6454473426467,330.4646404741905,354.9732383580982,354.70271379999764,357.8813344226778,454.4067110689138,365.11660663282504,450.7571508325877,True,0.1505166666666667,0.33329972250638173,0.43432428248144644,0.0,0.13086666666666666,0.11827083333333334,0.29258683783447537,0.4516744282580489,0.627618451161031,0.0953477695079753,0.5283015098668837,0.43544410328374566,cached,,,,,,,,
AU_H24_pvnaive,Ausgrid 148,1176.2005779492165,905.4811357902811,1033.0458097536937,6218.915000000001,5396.450589265928,6279.408807876706,988.8919999999999,25.11601385041554,895.0127441006396,904.6796131121546,904.6796131121546,0.0,705.3016666664521,0.801522678126496,6.364,141.5907657894737,1032.2442870755672,1032.2442870755672,0.0,705.3016666664521,0.801522678126496,6.572,154.3173441920647,906.0660478817283,906.6671898903231,906.6671898903231,0.0,705.3016666664521,-0.601142008594872,6.364,137.4357655263158,0.0,705.3016666664521,1013.4940142949636,89.24803975000019,705.3016666664521,945.9080410606925,123.7863277500001,705.3016666664521,1013.5040334314587,89.23087962976828,705.3016666664521,894.8743601097226,236.58345700000018,705.3016666664521,889.4760525857345,239.1432822500003,705.3016666664521,962.1721146014846,225.16641929925277,705.3016666664521,891.3063513380512,236.6203455000002,705.3016666664521,1050.6835666105287,997.4856776231926,963.33095018436,1176.2005779492165,964.4772882025618,989.8981619630513,989.119086856568,993.4508005263893,1097.344703167054,1050.6806975241302,1055.9914559761733,True,0.09762899543378996,0.21556932161161366,0.43062875534427697,0.0,0.08122361111111111,0.07650833333333333,0.5834251503352126,0.8273526816045437,0.7082574698229278,-0.22670981883950425,0.9235194043558526,0.6801778422935707,cached,,,,,,,,
AU_H24_pvnaive,Ausgrid 156,1068.7508545960864,835.3622521675449,928.1992782932278,5853.852,5300.132154224377,6100.594520428076,712.1859999999999,39.365778054016644,816.0860037670184,834.5607294894183,834.5607294894183,0.0,705.3016666664521,0.801522678126496,8.725999999999999,119.94908447368421,927.3977556151013,927.3977556151013,0.0,705.3016666664521,0.801522678126496,9.962842105263158,143.08245213128708,835.1857863412105,835.7869283498053,835.7869283498053,0.0,705.3016666664521,-0.601142008594872,8.725999999999999,117.23040500000002,0.0,705.3016666664521,962.4849187712547,62.57139699999982,705.3016666664521,865.8503263069716,106.63390000000027,705.3016666664521,962.5182112089097,62.54185734831549,705.3016666664521,810.7842712004717,236.63634575000324,705.3016666664521,804.7855423333197,239.2115512500033,705.3016666664521,878.2240498577387,220.39418506161465,705.3016666664521,807.946264273304,235.5671230000033,705.3016666664521,988.5773184373745,910.2811179736384,884.0317884245438,1068.7508545960864,885.3410373649133,906.0992321899721,904.457022020821,909.3827485963064,987.8169666812641,988.5563341879213,970.0549603000782,True,0.09040194063926942,0.21120070363190524,0.3786926817511693,0.0,0.07436111111111111,0.07308194444444445,0.5719560277795311,0.8396244597441361,0.6927180569227832,-0.662693218207661,0.7183640056823426,0.5813060046978109,cached,,,,,,,,
