arm,dataset,cost_no_battery,cost_oracle,cost_prophet,buy_no_battery,buy_oracle,buy_prophet,sell_no_battery,sell_oracle,sell_prophet,gross_oracle,energy_oracle,power_oracle,fixed_oracle,termadj_oracle,peakkw_oracle,efc_oracle,gross_prophet,energy_prophet,power_prophet,fixed_prophet,termadj_prophet,peakkw_prophet,efc_prophet,cost_milp_full,gross_milp_full,energy_milp_full,power_milp_full,fixed_milp_full,termadj_milp_full,peakkw_milp_full,efc_milp_full,efc_no_battery,fixed_no_battery,cost_self_consumption,efc_self_consumption,fixed_self_consumption,cost_fixed_schedule,efc_fixed_schedule,fixed_fixed_schedule,cost_delayed_pv_charge,efc_delayed_pv_charge,fixed_delayed_pv_charge,cost_price_threshold,efc_price_threshold,fixed_price_threshold,cost_price_rank_daily,efc_price_rank_daily,fixed_price_rank_daily,cost_tariff_arbitrage,efc_tariff_arbitrage,fixed_tariff_arbitrage,cost_price_oracle,efc_price_oracle,fixed_price_oracle,total_delayed_pv_charge,total_fixed_schedule,total_milp_full,total_no_battery,total_oracle,total_price_oracle,total_price_rank_daily,total_price_threshold,total_prophet,total_self_consumption,total_tariff_arbitrage,full_period_bound_is_exact,gen_mae,gen_rmse,gen_nmae,gen_skill_vs_naive,gen_mae_first_month,gen_mae_last_month,con_mae,con_rmse,con_nmae,con_skill_vs_naive,con_mae_first_month,con_mae_last_month,run_status,cost_peak_shaving,efc_peak_shaving,fixed_peak_shaving,cost_self_consumption_peak_shaving,efc_self_consumption_peak_shaving,fixed_self_consumption_peak_shaving,total_peak_shaving,total_self_consumption_peak_shaving
SI_H24_pvtruth_tuned,Ausgrid 65,422.85387594019807,379.8460404323068,400.50044008541636,4949.204,4272.534819736842,4617.664560277288,790.739,38.42265119806094,384.91406483217816,379.6751424023004,350.33758317229984,29.33755922999999,195.84191554792497,0.17089803000638276,8.204,75.65207592105261,400.2035426877007,371.9460315340004,28.257511153499994,196.33323734405135,0.29689739771569124,8.204,75.75901248702446,375.5209000542123,375.2366557683016,349.86875840900063,25.367897359199997,152.52978571158675,0.28424428591068834,6.704000000000001,76.15413257335118,0.0,205.16139562292923,382.11006962824456,71.74419474999988,199.66529513972418,397.94997664127953,97.79221915000011,183.95083373958687,382.1378004965446,71.69521807801831,199.66529513972418,385.0416601781444,94.00257869962492,199.9915690005151,383.679878175644,92.38100349999996,199.3508522565056,407.4153732699817,195.21106547843652,175.10207496568017,383.1025986163445,92.86413045837483,199.27778372554118,611.6761031687764,622.6475683600331,559.7815743380287,628.0152715631273,607.2096542806703,621.0737700328752,621.5228152238162,624.2009703035033,628.3999326323946,611.6687792471354,663.8553921850105,True,0.0,0.0,0.0,1.0,0.0,0.0,0.366160216567843,0.6361782335835332,0.49970656894074034,0.05575637285321533,0.6277848919083215,0.6233459319873418,cached,405.0671685651163,26.21244807464895,169.18501268100246,374.2188928112807,77.9709300769016,177.848663869759,585.1740346105559,584.5554442130821
SI_H24_pvtruth_tuned,Ausgrid 66,173.13925950230106,126.28266183613937,140.76222050694642,2171.043,1420.661657132964,1697.3208762688848,1009.2339999999999,178.7588296814406,452.70626252668035,125.97717367340043,109.4278467023001,16.549326971299998,101.8053025114932,0.3054881627389377,4.126,81.51616368421051,140.44072950920017,127.05969301850047,13.381036491100001,105.73439997499347,0.3214909977462558,3.521198213129547,84.34050666854152,119.43904910369372,119.10334399749992,108.09285577760004,11.010488219799997,64.0731361522012,0.33570510619379995,2.6260000000000003,83.28923337950404,0.0,115.98299299061354,129.53267869664364,80.03942649999928,101.00671598768133,142.66763528738338,63.35599999999997,89.83626736667522,129.71636633934364,79.8552013605791,101.00671598768133,132.81055803784352,95.64978269250011,97.21032299069647,131.85799131864383,96.43128713650115,101.76437524207766,151.16695744338182,146.37615689736234,71.85305438849456,131.19697779264357,96.85311891791861,100.46170199378307,263.9960828939329,258.9022359873919,218.21603249735495,289.1222524929146,262.05303254938696,272.0141460022261,273.80206953426364,269.874957150415,281.63849826049886,263.8891557259914,284.01007720577735,True,0.0,0.0,0.0,1.0,0.0,0.0,0.1694346673979885,0.28676500892067247,0.5014323187463782,0.0536494493998122,0.16327539420399262,0.19225781912357845,cached,149.04044080006275,31.77715236571881,74.82204206168797,126.32950199773514,81.41510339731596,72.28507760190001,237.10296301413356,232.53753934851682
SI_H24_pvtruth_tuned,Ausgrid 67,320.8568661751,215.37071138354816,249.79440714370483,4470.205,2753.394365,3298.9032728741186,2399.488,494.74675548476455,1040.9502431881735,215.45079363960093,203.312019653501,12.138773986,104.59547357919841,-0.08008225605278874,3.56,182.20065289473683,249.87895439750093,236.62387154470107,13.255082852500001,107.93034893218682,-0.08454725379611541,3.56,181.4730774323826,210.74223532330086,210.49932171390083,202.74636493540083,7.7529567782000015,69.81046305949722,0.24291360940002169,2.956,183.1420849221491,0.0,126.4584220682776,219.46634726904384,177.70860800000028,107.28827339708624,268.09729637229145,100.77640000000001,95.28597852288779,222.61672209044355,172.44892512572935,107.34205947550268,229.93731381854343,189.80131715000022,107.63473964830668,221.15548169384383,197.42681464900014,107.63334677949945,292.9993533329438,231.11040123679058,88.99681356639861,225.00726076294373,191.05984889500013,106.92069451390284,401.8125003683334,405.3734415618459,356.86190043369356,447.3152882433776,395.8831236688869,411.5362256497633,411.05000124376,416.6559356126835,433.3385383393844,400.7998739994635,478.29216741467184,True,0.0,0.0,0.0,1.0,0.0,0.0,0.28600717911428264,0.39263044673504593,0.37369389762293476,0.1450830992378651,0.28153091274720254,0.2933271961287309,cached,297.1136636061416,37.00167431504743,83.48519576090662,252.79001182293086,136.47405343227575,77.64798102581311,396.01622366498464,387.3021817788589
SI_H24_pvtruth_tuned,Ausgrid 81,176.62934630629977,116.28800102702131,154.87685819243737,2470.9849999999997,1437.8665166828255,2164.2621263137826,1453.213,306.4079786011081,1040.2960430767093,116.20662201199995,96.80968515800004,19.396936854,62.14034318980882,0.08137901502135954,4.232,111.6974769736842,154.8620248336999,138.63745136639983,16.224573467200003,76.54138375740891,0.014833358737460101,4.232,103.6399407120145,103.67214963611791,103.92938040420046,94.73501441400043,9.1943659903,41.925613405507356,-0.2572307680825523,4.232,116.36141210604815,0.0,75.57806331260679,115.27350224545029,113.83088499999812,68.33215948540581,160.97386915865576,22.413299999999793,71.21032417300454,115.60774302241555,113.39322346315605,68.39071875580866,120.95105964392509,115.01185939999826,68.16968275169911,119.83158332518867,121.0979311033232,69.14579096819972,161.50607937983233,68.01761364215668,55.10206981579253,121.52458261441646,116.93967378999844,68.88345653980409,231.24563822120592,241.52306833166023,194.08168475247868,252.20740961890655,224.96895962253188,239.13290323338657,239.43484558643974,237.0423504789568,274.6015505798523,231.03519714752198,244.94882154652348,True,0.0,0.0,0.0,1.0,0.0,0.0,0.3478287831814345,0.5144660003088035,1.0286977623295537,-1.6514477683743536,0.28033771156786635,0.175076516878945,cached,127.6407718742723,82.9765008674235,53.75704834849129,116.15594656247126,107.26177042395378,56.18314563519578,215.9713622508567,217.03149654098112
AU_H24_hbd_median14_pvtruth,Ausgrid 1,561.1516884645584,241.37255958746465,335.12808552172174,4017.9990000000003,2048.769719785319,2546.4662630707276,3862.8379999999997,1670.3082035734074,2165.1222268459132,240.57103690933815,240.57103690933815,0.0,705.3016666664521,0.801522678126496,4.952,221.47742605263156,334.32656284359524,334.32656284359524,0.0,705.3016666664521,0.801522678126496,4.7139999999999995,224.28603529597234,241.01709740698234,241.61823941557722,241.61823941557722,0.0,705.3016666664521,-0.601142008594872,4.952,220.7023194736842,0.0,705.3016666664521,277.04276377973434,200.65038574999986,705.3016666664521,390.8398571756141,77.4884999999999,705.3016666664521,290.02282978525056,190.1223361742029,705.3016666664521,258.8428735802742,238.51257550000005,705.3016666664521,256.29309769355746,239.82498275000006,705.3016666664521,413.0786120321565,169.93293387078106,705.3016666664521,256.59813997498793,238.5494375000002,705.3016666664521,369.24046985783514,423.12673217561405,332.9763971876841,561.1516884645584,333.6548204427278,355.99373893332137,356.22017383939084,358.22311337194094,428.5806002283769,360.64709117556765,483.88400114498194,True,0.0,0.0,0.0,1.0,0.0,0.0,0.29365462457193225,0.5080954722806026,0.48750274531444104,0.266307967161983,0.522675473900208,0.39327051539327096,cached,,,,,,,,
AU_H24_hbd_median14_pvtruth,Ausgrid 104,2374.0614155183684,2058.6052898712087,2118.7948525144184,12190.554,11971.836568227147,12382.984851762069,382.53499999999997,6.856578947368443,406.4324688120257,2057.8037671930824,2057.8037671930824,0.0,705.3016666664521,0.801522678126496,12.198,156.83891263157892,2117.993329836292,2117.993329836292,0.0,705.3016666664521,0.801522678126496,12.198,168.114578259016,2057.4407298280626,2058.0418718366573,2058.0418718366573,0.0,705.3016666664521,-0.601142008594872,12.198,156.89116921052633,0.0,705.3016666664521,2284.4928299292633,34.90378374999993,705.3016666664521,2065.4005818492983,181.73668999999992,705.3016666664521,2284.4928299292633,34.90378374999993,705.3016666664521,2040.2394114142774,241.02293099999983,705.3016666664521,2036.8383576551253,243.52136074999984,705.3016666664521,2085.3458498974414,261.35865407106155,705.3016666664521,2040.608344631247,238.58956724999976,705.3016666664521,2299.03607315843,2141.1242026826317,2122.8120503324485,2374.0614155183684,2123.9548368010333,2140.020664318747,2138.3055913009584,2140.6656326642774,2188.842593455675,2299.03607315843,2194.245289093717,True,0.0,0.0,0.0,1.0,0.0,0.0,0.7536877108536489,1.5442976745767607,0.4758318437243335,0.1823314014508347,0.43187549429152167,0.5026994022733556,cached,,,,,,,,
AU_H24_hbd_median14_pvtruth,Ausgrid 113,926.2892819864417,643.3838274364279,710.946480964616,4569.722,3968.2728423130193,4311.273598965212,768.287,26.18040250000002,370.03888727374965,642.5823047583013,642.5823047583013,0.0,705.3016666664521,0.801522678126496,4.53,140.95340289473683,710.1449582864894,710.1449582864894,0.0,705.3016666664521,0.801522678126496,4.53,140.11766780193756,643.6510822471614,644.2522242557562,644.2522242557562,0.0,705.3016666664521,-0.601142008594872,4.53,137.0477905263158,0.0,705.3016666664521,781.9695498234653,69.38438150000005,705.3016666664521,674.6300532051115,136.60740174999984,705.3016666664521,781.990339264094,69.36596428543727,705.3016666664521,629.2510297944914,234.0007427500002,705.3016666664521,626.7882036234598,236.84130900000036,705.3016666664521,696.2153474401974,228.3057170614813,705.3016666664521,629.8286597836986,231.79487350000028,705.3016666664521,810.8928243830262,731.5498039342781,700.754328299793,926.2892819864417,702.1144119759015,726.4098570753654,725.47208237346,726.7513392736581,769.3288425487566,810.8797087817986,791.342729549148,True,0.0,0.0,0.0,1.0,0.0,0.0,0.2640229332231148,0.4261760822426032,0.39593683937031365,0.21262310375349447,0.34626494439021355,0.35804652824543726,cached,,,,,,,,
AU_H24_hbd_median14_pvtruth,Ausgrid 127,791.6653515731557,547.1876347272798,628.9431972171049,3740.375,3585.618489099723,3862.3186027180527,285.355,9.59426500000002,300.1266645716629,546.3861120491533,546.3861120491533,0.0,705.3016666664521,0.801522678126496,5.4700000000000015,121.80411578947368,628.1416745389784,628.1416745389784,0.0,705.3016666664521,0.801522678126496,5.470000000000001,108.32650383494399,546.1510752888939,546.7522172974888,546.7522172974888,0.0,705.3016666664521,-0.601142008594872,5.469999999999999,120.958005,0.0,705.3016666664521,741.3693648111266,26.133288749999974,705.3016666664521,550.0049086061778,140.28338724999983,705.3016666664521,741.3693648111266,26.133288749999974,705.3016666664521,517.6527594600716,232.8108227500003,705.3016666664521,513.7842882908308,235.80950875000045,705.3016666664521,582.3014371245891,202.7520993528812,705.3016666664521,517.2276478128388,230.9297440000004,705.3016666664521,752.2582351236266,608.4563199603443,596.5502440388939,791.6653515731557,597.9393496395605,613.4483744795056,612.0382502699977,614.6572689392384,674.0792404816649,752.2582351236266,666.781478521623,True,0.0,0.0,0.0,1.0,0.0,0.0,0.24319998504182114,0.4495238464651538,0.425471227492562,0.29914840140643495,0.27382143626098043,0.2746366772940177,cached,,,,,,,,
AU_H24_hbd_median14_pvtruth,Ausgrid 128,816.7668594428737,626.6920342228551,680.6874711882658,4365.071,4292.643720041551,4449.714030694577,187.64,13.907000000000014,180.40340894482682,625.8905115447286,625.8905115447286,0.0,705.3016666664521,0.801522678126496,5.234,102.61070157894737,679.8859485101393,679.8859485101393,0.0,705.3016666664521,0.801522678126496,5.234,93.42629811514006,625.9262808686778,626.5274228772727,626.5274228772727,0.0,705.3016666664521,-0.601142008594872,5.288,101.11774105263159,0.0,705.3016666664521,792.1352127818886,17.31451,705.3016666664521,635.3771383409562,105.30253199999974,705.3016666664521,792.1352127818886,17.31451,705.3016666664521,590.5166627848397,237.48764249999894,705.3016666664521,587.1412235156843,239.78454924999892,705.3016666664521,653.1145267836488,186.19554029895644,705.3016666664521,589.869243125355,234.91729324999886,705.3016666664521,799.3495919485553,679.2531933409562,668.058672973941,816.7668594428737,669.4464932140831,687.7514486461878,687.0514523698505,689.4698471598392,719.6150954029075,799.3495919485553,730.6960019082139,True,0.0,0.0,0.0,1.0,0.0,0.0,0.16524896502689898,0.31107907561721976,0.24354399431133816,0.18341161220474156,0.18128452926869248,0.18147069124136037,cached,,,,,,,,
AU_H24_hbd_median14_pvtruth,Ausgrid 137,1066.2853092328644,751.8063205743975,818.2718233536176,5156.477,4713.667997243767,5058.184837960072,603.538,8.600105263157914,356.47614149192736,751.004797896271,751.004797896271,0.0,705.3016666664521,0.801522678126496,6.271999999999999,152.1307152631579,817.4703006754911,817.4703006754911,0.0,705.3016666664521,0.801522678126496,6.271999999999999,148.85765296896142,751.8638630756134,752.4650050842082,752.4650050842082,0.0,705.3016666664521,-0.601142008594872,6.271999999999999,149.39554736842106,0.0,705.3016666664521,967.7207396350461,54.69844450000013,705.3016666664521,775.4728302624233,160.8102147500003,705.3016666664521,967.7210346695731,54.697927159300455,705.3016666664521,738.2341542343925,238.77969275000024,705.3016666664521,730.3374936654594,241.46010100000026,705.3016666664521,795.1859250777486,230.63621448400835,705.3016666664521,737.4210304608963,237.1912377500002,705.3016666664521,990.511837652615,842.4770864082567,814.1120078124555,1066.2853092328644,815.1941186007133,836.2507128567297,830.9458690821261,837.7256928802259,880.2958454240182,990.5117581767129,891.2843477794188,True,0.0,0.0,0.0,1.0,0.0,0.0,0.30589351809206405,0.5362250379137189,0.3709627571470769,0.24548276434824545,0.3881889683874735,0.34963677789394215,cached,,,,,,,,
