config,dataset,channel,mae,nmae,skill_vs_naive,n_sim,n_train,steps_per_day,start_ts,refit_every_days
cps_0.001,Ausgrid 142,generation,0.16936995929544754,0.494072055606425,-0.35011924684157036,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 142,consumption,0.3288059638951612,0.748146681751581,0.06816437976951695,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 142,generation,0.15097579783705906,0.44041412712425904,-0.2034916422900399,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 142,consumption,0.3850425859005646,0.8761043430051811,-0.09121012465030232,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 142,generation,0.16328839581958574,0.4763314209607109,-0.30164054416132213,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 142,consumption,0.3370971047782397,0.7670118795300126,0.04466729864703112,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 142,generation,0.16861453811313254,0.49186840332978987,-0.34409746658043106,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 142,consumption,0.34676787055426445,0.7890161985503227,0.017260362598027212,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 142,generation,0.15880768921694235,0.4632606737576867,-0.2659229455455827,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 142,consumption,0.347170478372147,0.7899322698387744,0.016119372631659523,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 142,generation,0.15783362984655075,0.46041922821791076,-0.2581583082450678,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 142,consumption,0.42787253227345107,0.9735572051092579,-0.21259012995805993,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 142,generation,0.16995463570894384,0.4957776253466692,-0.35477994867039153,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 142,consumption,0.4268104399019408,0.9711405795893131,-0.20958016173235006,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 142,generation,0.17227984168909827,0.5025605241741954,-0.3733151444024836,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 142,consumption,0.34581964609044713,0.786858661692546,0.019947629340064332,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 142,generation,0.15822549885922169,0.4615623561340075,-0.2612820611139277,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 148,consumption,0.9048997029417206,0.9006192597378001,-0.6901274293554414,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 148,generation,0.09839866994825094,0.4421602517396358,-0.29134466512477775,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 148,consumption,0.6184979900054709,0.6155723116022723,-0.15520031061031103,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 148,generation,0.08953608602206002,0.40233570592078366,-0.17503566950190885,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 148,consumption,0.7101693354023406,0.7068100244251422,-0.326419568211443,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 148,generation,0.09912010122491821,0.44540204591299,-0.3008124397488492,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 148,consumption,1.097278267992051,1.092087817282688,-1.0494427087776779,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 148,generation,0.09861477749502268,0.4431313438014866,-0.29418077386246355,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 148,consumption,0.6072758852606203,0.6044032907316153,-0.13424021195770552,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 148,generation,0.09296523064322311,0.41774477039027796,-0.2200383876769525,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 148,consumption,0.899713531973904,0.8954576208923849,-0.6804409527464439,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 148,generation,0.09873146207894104,0.44365567289075797,-0.29571209552590183,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 148,consumption,0.8995829249823687,0.8953276317105444,-0.6801970113923448,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 148,generation,0.09826169817569598,0.44154476096657985,-0.28954710253724936,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 148,consumption,0.7570543053397406,0.7534732145892898,-0.41398902310031094,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 148,generation,0.10250133605030214,0.4605958248773687,-0.34518640898633945,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 148,consumption,0.7589752975441211,0.7553851199324422,-0.41757695843242204,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 148,generation,0.09446194592658695,0.4244703491691655,-0.239680678547338,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 148,consumption,0.8973370815741697,0.8930924118058369,-0.6760023348620126,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 148,generation,0.09864956734760848,0.44328767406474534,-0.2946373419294992,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 179,consumption,0.48735641207111263,0.7747430378239005,-0.16779470274429786,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 179,generation,0.0787671665945394,0.5261667775186333,-0.44249978671769385,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 179,consumption,0.4386017868142394,0.6972385553878219,-0.05096974322996162,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 179,generation,0.07426437115877203,0.49608798369253193,-0.3600379979223338,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 179,consumption,0.4733332572402983,0.7524506429678854,-0.13419267038856342,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 179,generation,0.07792756509617137,0.520558217075293,-0.4271237736568443,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 179,consumption,0.5301309966260219,0.8427411409757478,-0.2702903958716971,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 179,generation,0.07914855238786248,0.5287144448087006,-0.4494842822798819,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 179,consumption,0.45002959855342456,0.7154051730072984,-0.07835286096974059,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 179,generation,0.07351937354464463,0.491111379723745,-0.34639450983019704,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 179,consumption,0.4886373022765541,0.7767792494019228,-0.17086394890514112,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 179,generation,0.07910248756612828,0.5284067305686592,-0.4486406757570167,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 179,consumption,0.48706600315625603,0.7742813792115699,-0.1670988301057128,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 179,generation,0.07880917164724868,0.5264473723931108,-0.4432690448006473,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 179,consumption,0.6200703179492657,0.985716305138813,-0.4858013862028878,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 179,generation,0.08436644988010464,0.563570139479657,-0.5450420679041768,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 179,consumption,0.643419634244661,1.0228343563016775,-0.5417505995652125,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 179,generation,0.07698964741304516,0.5142929018907493,-0.40994725053988734,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 179,consumption,0.48935527956575803,0.7779206069225154,-0.1725843532216862,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 179,generation,0.07877584303347539,0.5262247363625611,-0.4426586823826737,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 223,consumption,0.5604488979080936,0.7952590828614817,-0.20782061975092891,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 223,generation,0.06775280786232087,0.5181473829317027,-0.6656354849947996,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 223,consumption,0.547545443176569,0.7769494927920947,-0.18001244892762958,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 223,generation,0.05695483790815346,0.43556866701934727,-0.4001781188865665,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 223,consumption,0.5532937741385495,0.7851061907994813,-0.19240064826381853,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 223,generation,0.06739546682143548,0.5154145762630093,-0.656850610437967,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 223,consumption,0.5318951713154514,0.7547422569615655,-0.14628462623207072,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 223,generation,0.06790890877269677,0.5193411825798132,-0.6694730708272638,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 223,consumption,0.590683357627844,0.8381608153785542,-0.2729787528346912,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 223,generation,0.052466902848098074,0.4012466679833729,-0.2898466931311814,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 223,consumption,0.5605750908137719,0.7954381465634677,-0.2080925774514677,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 223,generation,0.06803864389531576,0.5203333468366208,-0.6726624799558634,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 223,consumption,0.5603494739197293,0.7951180033980443,-0.20760635161035013,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 223,generation,0.06785552031005669,0.5189328881774333,-0.6681605685019971,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 223,consumption,0.6930585982948553,0.9834280115572893,-0.4936071225060634,90,730,48,2010-07-01 00:30:00,30
