KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,2374.06,2057.80 (-13.3 %),2070.95 (-12.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),13.14 (+0.6 %)
Energy bought (kWh),12190.6,11971.8 (-1.8 %),12046.9 (-1.2 %)
Energy sold (kWh),382.5,6.9 (-98.2 %),87.4 (-77.2 %)
